# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789688176	warmup	370596	7.70	0.16	0.030	357.4	232.7	16	1572
1789688182	mux-tunnels-2-pre	370596	7.99	0.13	0.054	357.4	261.0	16	1619
1789688357	mux-tunnels-2-post	401368	25.31	0.31	0.044	386.0	309.0	66	3238
1789688393	mux-tunnels-2-settled	401752	27.75	0.17	0.064	386.3	311.0	68	3596
1789688416	mux-legs-2-pre	388752	29.19	0.18	0.064	386.5	246.9	69	3667
1789688603	mux-legs-2-post	433812	49.71	0.39	0.152	431.1	311.9	116	4433
1789688639	mux-legs-2-settled	439188	52.22	0.22	0.088	431.9	222.0	119	4503
1789688717	mux-tunnels-2-up2-pre	428352	57.05	0.23	0.056	432.0	268.9	122	4595
1789688785	mux-tunnels-2-up2-post	476216	67.46	0.60	0.076	464.1	328.0	152	4728
1789688821	mux-tunnels-2-up2-settled	406084	70.04	0.53	0.106	464.1	306.4	155	4789
