# row	tp	sent_delta	recv_delta
1	b414796d-14fc-080e-9ce6-a7162e3e562b	1101	8403151
1	95839ad0-b588-0b1d-8475-45fba6ae993c	49277	1625698
1	f1012467-de9d-09a9-8b49-62a43945c24b	13398	119356
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	69	69
1	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd	-
2	b414796d-14fc-080e-9ce6-a7162e3e562b	919	8403255
2	95839ad0-b588-0b1d-8475-45fba6ae993c	29815	1660979
2	f1012467-de9d-09a9-8b49-62a43945c24b	143	143
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	37	37
2	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49163:4fafe7b9	-
3	b414796d-14fc-080e-9ce6-a7162e3e562b	5810018	123327
3	95839ad0-b588-0b1d-8475-45fba6ae993c	4213289	501170
3	f1012467-de9d-09a9-8b49-62a43945c24b	410	771
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	42	106
3	4fafe7b9-8e5b-04b9-80d0-5d7b96ec85aa	84	170
3	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49163:4fafe7b9 49165:ac40965a	-
4	b414796d-14fc-080e-9ce6-a7162e3e562b	10006471	1829
4	95839ad0-b588-0b1d-8475-45fba6ae993c	62921	21274
4	f1012467-de9d-09a9-8b49-62a43945c24b	79	133
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	69	69
4	4fafe7b9-8e5b-04b9-80d0-5d7b96ec85aa	102	70
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	69	69
4	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49163:4fafe7b9 49165:ac40965a	-
5	b414796d-14fc-080e-9ce6-a7162e3e562b	10006476	1838
5	95839ad0-b588-0b1d-8475-45fba6ae993c	13054	24248
5	f1012467-de9d-09a9-8b49-62a43945c24b	7378	42752
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	69	69
5	4fafe7b9-8e5b-04b9-80d0-5d7b96ec85aa	69	69
5	ac40965a-bc99-01e4-a2c9-c26b76db013b	37	37
5	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49163:4fafe7b9 49165:ac40965a 49166:50cdb857	-
6	b414796d-14fc-080e-9ce6-a7162e3e562b	2954	33280998
6	95839ad0-b588-0b1d-8475-45fba6ae993c	68463	16976112
6	f1012467-de9d-09a9-8b49-62a43945c24b	30764	98087
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	106	106
6	4fafe7b9-8e5b-04b9-80d0-5d7b96ec85aa	114	114
6	ac40965a-bc99-01e4-a2c9-c26b76db013b	106	106
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	114	114
6	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49163:4fafe7b9 49165:ac40965a 49166:50cdb857	-
7	b414796d-14fc-080e-9ce6-a7162e3e562b	2422	25399120
7	95839ad0-b588-0b1d-8475-45fba6ae993c	30862	21172488
7	f1012467-de9d-09a9-8b49-62a43945c24b	20331	4710827
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	74	74
7	4fafe7b9-8e5b-04b9-80d0-5d7b96ec85aa	74	74
7	ac40965a-bc99-01e4-a2c9-c26b76db013b	74	74
7	50cdb857-a262-0ae5-bf5b-5c93c8025b69	113	168718
7	d93bb059-f745-01dd-a137-bdddfb966b50	109	45
7	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49163:4fafe7b9 49165:ac40965a 49166:50cdb857 49167:d93bb059	-
8	b414796d-14fc-080e-9ce6-a7162e3e562b	20984589	3094
8	95839ad0-b588-0b1d-8475-45fba6ae993c	29046412	4145
8	f1012467-de9d-09a9-8b49-62a43945c24b	116	143
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	143	143
8	4fafe7b9-8e5b-04b9-80d0-5d7b96ec85aa	138	138
8	ac40965a-bc99-01e4-a2c9-c26b76db013b	186	106
8	50cdb857-a262-0ae5-bf5b-5c93c8025b69	106	138
8	d93bb059-f745-01dd-a137-bdddfb966b50	69	69
8	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49163:4fafe7b9 49165:ac40965a 49166:50cdb857 49167:d93bb059	-
9	b414796d-14fc-080e-9ce6-a7162e3e562b	20984512	3007
9	95839ad0-b588-0b1d-8475-45fba6ae993c	29086195	177015
9	f1012467-de9d-09a9-8b49-62a43945c24b	111	216
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	106	184
9	4fafe7b9-8e5b-04b9-80d0-5d7b96ec85aa	114	114
9	ac40965a-bc99-01e4-a2c9-c26b76db013b	32	0
9	50cdb857-a262-0ae5-bf5b-5c93c8025b69	114	114
9	d93bb059-f745-01dd-a137-bdddfb966b50	106	106
9	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49163:4fafe7b9 49165:ac40965a 49166:50cdb857 49167:d93bb059	-
10	b414796d-14fc-080e-9ce6-a7162e3e562b	16787563	257757
10	95839ad0-b588-0b1d-8475-45fba6ae993c	33278223	476033
10	f1012467-de9d-09a9-8b49-62a43945c24b	15631	1383067
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	37	156929
10	4fafe7b9-8e5b-04b9-80d0-5d7b96ec85aa	109	45
