# row	tp	sent_delta	recv_delta
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	2714	2560087
1	95839ad0-b588-0b1d-8475-45fba6ae993c	425	10770950
1	legs	49171:fdab37dd,95839ad0	-
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	508	10016454
2	95839ad0-b588-0b1d-8475-45fba6ae993c	267	37
2	legs	49171:fdab37dd,95839ad0	-
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	569	10016394
3	95839ad0-b588-0b1d-8475-45fba6ae993c	6	5
3	legs	49171:fdab37dd,95839ad0	-
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	564	10035399
4	95839ad0-b588-0b1d-8475-45fba6ae993c	38	37
4	legs	49171:fdab37dd,95839ad0	-
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	511	10169746
5	95839ad0-b588-0b1d-8475-45fba6ae993c	72	454029
5	legs	49171:fdab37dd,95839ad0	-
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10016423	698
6	95839ad0-b588-0b1d-8475-45fba6ae993c	33	0
6	legs	49171:fdab37dd,95839ad0	-
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10016438	634
7	95839ad0-b588-0b1d-8475-45fba6ae993c	9	8
7	legs	49171:fdab37dd,95839ad0	-
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10017204	796
8	95839ad0-b588-0b1d-8475-45fba6ae993c	38	37
8	legs	49171:fdab37dd,95839ad0	-
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1100	50079975
9	95839ad0-b588-0b1d-8475-45fba6ae993c	75	74
9	legs	49171:fdab37dd,95839ad0	-
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1078	50265450
10	95839ad0-b588-0b1d-8475-45fba6ae993c	202	454181
10	legs	49171:fdab37dd,95839ad0	-
11	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	840	50080062
11	95839ad0-b588-0b1d-8475-45fba6ae993c	147	146
11	legs	49171:fdab37dd,95839ad0	-
12	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	995	50232336
12	95839ad0-b588-0b1d-8475-45fba6ae993c	70	69
12	legs	49171:fdab37dd,95839ad0	-
13	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	829	50080094
13	95839ad0-b588-0b1d-8475-45fba6ae993c	107	106
13	legs	49171:fdab37dd,95839ad0	-
14	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50082020	1046
14	95839ad0-b588-0b1d-8475-45fba6ae993c	70	69
14	legs	49171:fdab37dd,95839ad0	-
15	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50080069	1046
15	95839ad0-b588-0b1d-8475-45fba6ae993c	142	141
15	legs	49171:fdab37dd,95839ad0	-
16	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50082365	1034
16	95839ad0-b588-0b1d-8475-45fba6ae993c	107	106
16	legs	49171:fdab37dd,95839ad0	-
# rg src_port before=49171 after=49171 constant
