# row	tp	sent_delta	recv_delta
1	0a70d75b-79ef-0186-b60c-da5cac28d0f9	?	?
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	82	82
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	2598	2135
1	95839ad0-b588-0b1d-8475-45fba6ae993c	489	179
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	107	75
1	f1012467-de9d-09a9-8b49-62a43945c24b	2116	6085338
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	774	3959013
1	legs	49176:fdab37dd,95839ad0 49177:f1012467,ac40965a 49178:f1012467 49181:fdab37dd 49182:ac40965a 49183:50cdb857 49184:2c4ae7a5 49186:b414796d	-
2	0a70d75b-79ef-0186-b60c-da5cac28d0f9	?	?
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	108	69710
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	4878	170521
2	95839ad0-b588-0b1d-8475-45fba6ae993c	499	523064
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	189	4256495
2	f1012467-de9d-09a9-8b49-62a43945c24b	957	441364
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1447	6099573
2	legs	49176:fdab37dd,95839ad0 49177:f1012467,ac40965a 49178:f1012467 49181:fdab37dd 49182:ac40965a 49183:50cdb857 49184:2c4ae7a5 49186:b414796d	-
3	0a70d75b-79ef-0186-b60c-da5cac28d0f9	?	?
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	138	138
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	247	252
3	95839ad0-b588-0b1d-8475-45fba6ae993c	76	4576
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	153	249
3	f1012467-de9d-09a9-8b49-62a43945c24b	1126	4168264
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1407	6060095
3	legs	49176:fdab37dd,95839ad0 49177:f1012467,ac40965a 49178:f1012467 49181:fdab37dd 49182:ac40965a 49183:50cdb857 49184:2c4ae7a5 49186:b414796d	-
4	0a70d75b-79ef-0186-b60c-da5cac28d0f9	?	?
4	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	42	106
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	69	53
4	95839ad0-b588-0b1d-8475-45fba6ae993c	70	70
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	38	38
4	f1012467-de9d-09a9-8b49-62a43945c24b	10016413	767
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	148	148
4	legs	49176:fdab37dd,95839ad0 49177:f1012467,ac40965a 49178:f1012467 49181:fdab37dd 49182:ac40965a 49183:50cdb857 49184:2c4ae7a5 49186:b414796d	-
5	0a70d75b-79ef-0186-b60c-da5cac28d0f9	?	?
5	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	114	114
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	3456	1993
5	95839ad0-b588-0b1d-8475-45fba6ae993c	139	171
5	ac40965a-bc99-01e4-a2c9-c26b76db013b	10016815	38
5	f1012467-de9d-09a9-8b49-62a43945c24b	62	728
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	74	42
5	legs	49176:fdab37dd,95839ad0 49177:f1012467,ac40965a 49178:f1012467 49181:fdab37dd 49182:ac40965a 49183:50cdb857 49184:2c4ae7a5 49186:b414796d	-
6	0a70d75b-79ef-0186-b60c-da5cac28d0f9	?	?
6	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	177	190928
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1853	165913
6	95839ad0-b588-0b1d-8475-45fba6ae993c	107	107
6	ac40965a-bc99-01e4-a2c9-c26b76db013b	4157945	160
6	f1012467-de9d-09a9-8b49-62a43945c24b	5924268	1039
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	74	74
6	legs	49176:fdab37dd,95839ad0 49177:f1012467,ac40965a 49178:f1012467 49181:fdab37dd 49182:ac40965a 49183:50cdb857 49184:2c4ae7a5 49186:b414796d	-
7	0a70d75b-79ef-0186-b60c-da5cac28d0f9	?	?
7	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	259	190702
7	50cdb857-a262-0ae5-bf5b-5c93c8025b69	14599	178605
7	95839ad0-b588-0b1d-8475-45fba6ae993c	264	485202
7	ac40965a-bc99-01e4-a2c9-c26b76db013b	2794	4335701
7	f1012467-de9d-09a9-8b49-62a43945c24b	6828	47255362
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	564	160958
7	legs	49176:fdab37dd,95839ad0 49177:f1012467,ac40965a 49178:f1012467 49181:fdab37dd 49182:ac40965a 49183:50cdb857 49184:2c4ae7a5 49186:b414796d	-
8	0a70d75b-79ef-0186-b60c-da5cac28d0f9	?	?
8	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	175	175
8	50cdb857-a262-0ae5-bf5b-5c93c8025b69	257	316
8	95839ad0-b588-0b1d-8475-45fba6ae993c	145	273
8	ac40965a-bc99-01e4-a2c9-c26b76db013b	107	106
8	f1012467-de9d-09a9-8b49-62a43945c24b	3084	26128430
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	2291	24000731
8	legs	49176:fdab37dd,95839ad0 49177:f1012467,ac40965a 49178:f1012467 49181:fdab37dd 49182:ac40965a 49183:50cdb857 49184:2c4ae7a5 49186:b414796d	-
9	0a70d75b-79ef-0186-b60c-da5cac28d0f9	?	?
9	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	175	175
9	50cdb857-a262-0ae5-bf5b-5c93c8025b69	3483	3520
9	95839ad0-b588-0b1d-8475-45fba6ae993c	157	22018671
9	ac40965a-bc99-01e4-a2c9-c26b76db013b	108	106
9	f1012467-de9d-09a9-8b49-62a43945c24b	2116	16028266
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	6621	17104389
9	legs	49176:fdab37dd,95839ad0 49177:f1012467,ac40965a 49178:f1012467 49181:fdab37dd 49182:ac40965a 49183:50cdb857 49184:2c4ae7a5 49186:b414796d	-
10	0a70d75b-79ef-0186-b60c-da5cac28d0f9	?	?
10	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	199	69673
10	50cdb857-a262-0ae5-bf5b-5c93c8025b69	2717	168945
10	95839ad0-b588-0b1d-8475-45fba6ae993c	29155594	483362
10	ac40965a-bc99-01e4-a2c9-c26b76db013b	271	175823
10	f1012467-de9d-09a9-8b49-62a43945c24b	302	438159
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	20989610	96090
10	legs	49176:fdab37dd,95839ad0 49177:f1012467,ac40965a 49178:f1012467 49181:fdab37dd 49182:ac40965a 49183:50cdb857 49184:2c4ae7a5 49186:b414796d	-
11	0a70d75b-79ef-0186-b60c-da5cac28d0f9	?	?
11	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	42	106
11	50cdb857-a262-0ae5-bf5b-5c93c8025b69	111	106
11	95839ad0-b588-0b1d-8475-45fba6ae993c	135	103
11	ac40965a-bc99-01e4-a2c9-c26b76db013b	78	45
11	f1012467-de9d-09a9-8b49-62a43945c24b	50079999	1182
11	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	201	233
11	legs	49176:fdab37dd,95839ad0 49177:f1012467,ac40965a 49178:f1012467 49181:fdab37dd 49182:ac40965a 49183:50cdb857 49184:2c4ae7a5 49186:b414796d	-
12	0a70d75b-79ef-0186-b60c-da5cac28d0f9	?	?
12	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	74	74
12	50cdb857-a262-0ae5-bf5b-5c93c8025b69	148	159
12	95839ad0-b588-0b1d-8475-45fba6ae993c	42300295	147
12	ac40965a-bc99-01e4-a2c9-c26b76db013b	76	74
12	f1012467-de9d-09a9-8b49-62a43945c24b	180	180
12	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	8271550	2695
