# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789691623	warmup	347196	10.54	0.12	0.044	357.3	146.4	20	2057
1789691628	mux-tunnels-2-pre	347196	10.80	0.11	0.046	357.3	170.1	20	2112
1789691751	mux-tunnels-2-post	396988	21.54	0.32	0.090	385.6	270.6	47	3136
1789691787	mux-tunnels-2-settled	389668	23.98	0.23	0.054	386.7	310.2	49	3463
1789691808	mux-legs-2-pre	381776	25.26	0.34	0.062	386.7	222.6	50	3557
1789691899	mux-legs-2-post	433188	35.51	0.39	0.064	426.7	284.7	74	4134
1789691935	mux-legs-2-settled	431016	37.74	0.35	0.058	427.1	243.8	76	4268
1789692022	mux-compose-T2xL2-pre	443876	43.94	0.15	0.058	428.4	360.3	81	4473
1789692347	mux-compose-T2xL2-post	477236	82.15	0.76	0.046	488.7	345.0	166	4853
1789692384	mux-compose-T2xL2-settled	424432	84.60	0.47	0.044	488.7	325.2	168	4883
