# row	tp	sent_delta	recv_delta
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	16092	8219499
1	95839ad0-b588-0b1d-8475-45fba6ae993c	1	2529038
1	legs	49169:fdab37dd,95839ad0	-
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	7633	8771623
2	95839ad0-b588-0b1d-8475-45fba6ae993c	0	2727920
2	legs	49169:fdab37dd,95839ad0	-
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10025400	7738
3	95839ad0-b588-0b1d-8475-45fba6ae993c	16	112
3	legs	49169:fdab37dd,95839ad0	-
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	252621	190109
4	95839ad0-b588-0b1d-8475-45fba6ae993c	18268830	458930
4	legs	49169:fdab37dd,95839ad0	-
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10018842	6959
5	95839ad0-b588-0b1d-8475-45fba6ae993c	141542	9
5	legs	49169:fdab37dd,95839ad0	-
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	21877	45599108
6	95839ad0-b588-0b1d-8475-45fba6ae993c	243	4758901
6	legs	49169:fdab37dd,95839ad0	-
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	33330	38645252
7	95839ad0-b588-0b1d-8475-45fba6ae993c	17	13456249
7	legs	49169:fdab37dd,95839ad0	-
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	38931820	199265
8	95839ad0-b588-0b1d-8475-45fba6ae993c	13853536	457725
8	legs	49169:fdab37dd,95839ad0	-
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	18958744	16344
9	95839ad0-b588-0b1d-8475-45fba6ae993c	38118362	9
9	legs	49169:fdab37dd,95839ad0	-
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	42703865	186223
10	95839ad0-b588-0b1d-8475-45fba6ae993c	9762288	456555
10	legs	49169:fdab37dd,95839ad0	-
# rg src_port before=49169 after=49169 constant
