# assert	value	want	verdict
pool_size	8	> 2	PASS
pool_settled	quiet 20s	quiet	INFO
hashes_after_cut	3/3	3/3	PASS
cut_target	tp f1012467-de9d-09a9-8b49-62a43945c24b rg 49199 remote 0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb role active (by tunnel_role=active, busiest by carrier-growth)	an active tunnel's first hop	PASS
survivors_kept	7/7 (49198,49199,49200,49201,49202,49203,49204,49206 -> 49198,49200,49201,49202,49203,49204,49206)	all but rg 49199	PASS
rg_ports_lost	49199	at most rg 49199	PASS
rg_ports_gained	none	pool refill, not a rebuild	INFO
promote_event	tunnel_promoted x1	>=1 tunnel_promoted (or leg_promoted)	PASS
ttfb_after_cut_s	6.784	< 2	FAIL
local_reorder_wedge	0 events, wedges counter 0	0	PASS
exit_reorder_wedge	0	0	PASS
