# row	tp	sent_delta	recv_delta
1	b414796d-14fc-080e-9ce6-a7162e3e562b	1376	6127767
1	95839ad0-b588-0b1d-8475-45fba6ae993c	532	2039476
1	f1012467-de9d-09a9-8b49-62a43945c24b	525	2101114
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	35016	23500
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	37
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	6208	3539
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	69	69
1	797a3969-3f39-0a33-bf84-0827fdcdf7de	37	37
1	legs	49166:b414796d 49167:95839ad0 49168:f1012467 49169:fdab37dd 49170:50cdb857 49171:2c4ae7a5 49172:ac40965a 49173:797a3969	-
2	b414796d-14fc-080e-9ce6-a7162e3e562b	10306	6066690
2	95839ad0-b588-0b1d-8475-45fba6ae993c	693	3959027
2	f1012467-de9d-09a9-8b49-62a43945c24b	69	69
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	15743	1183692
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	37
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	37	3817
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	37	37
2	797a3969-3f39-0a33-bf84-0827fdcdf7de	96	32
2	legs	49166:b414796d 49167:95839ad0 49168:f1012467 49169:fdab37dd 49170:50cdb857 49171:2c4ae7a5 49172:ac40965a 49173:797a3969	-
3	b414796d-14fc-080e-9ce6-a7162e3e562b	8975	8045385
3	95839ad0-b588-0b1d-8475-45fba6ae993c	422	1979615
3	f1012467-de9d-09a9-8b49-62a43945c24b	85	85
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3049	2084
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	82	98
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	7138	7631
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	77	77
3	797a3969-3f39-0a33-bf84-0827fdcdf7de	55	106
3	legs	49166:b414796d 49167:95839ad0 49168:f1012467 49169:fdab37dd 49170:50cdb857 49171:2c4ae7a5 49172:ac40965a 49173:797a3969	-
4	b414796d-14fc-080e-9ce6-a7162e3e562b	25755	7934667
4	95839ad0-b588-0b1d-8475-45fba6ae993c	589	2101131
4	f1012467-de9d-09a9-8b49-62a43945c24b	37	37
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	37	37
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	77	45
4	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	873	2095
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	69	69
4	797a3969-3f39-0a33-bf84-0827fdcdf7de	69	69
4	legs	49166:b414796d 49167:95839ad0 49168:f1012467 49169:fdab37dd 49170:50cdb857 49171:2c4ae7a5 49172:ac40965a 49173:797a3969	-
5	b414796d-14fc-080e-9ce6-a7162e3e562b	24719	7932729
5	95839ad0-b588-0b1d-8475-45fba6ae993c	616	2101215
5	f1012467-de9d-09a9-8b49-62a43945c24b	37	37
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	69	69
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	37
5	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	111	106
5	ac40965a-bc99-01e4-a2c9-c26b76db013b	37	37
5	797a3969-3f39-0a33-bf84-0827fdcdf7de	37	37
5	legs	49166:b414796d 49167:95839ad0 49168:f1012467 49169:fdab37dd 49170:50cdb857 49171:2c4ae7a5 49172:ac40965a 49173:797a3969	-
6	b414796d-14fc-080e-9ce6-a7162e3e562b	7537820	288144
6	95839ad0-b588-0b1d-8475-45fba6ae993c	2502041	574533
6	f1012467-de9d-09a9-8b49-62a43945c24b	243	665043
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	108	155477
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	108	172679
6	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	231	195861
6	ac40965a-bc99-01e4-a2c9-c26b76db013b	140	183885
6	797a3969-3f39-0a33-bf84-0827fdcdf7de	37	37
6	legs	49166:b414796d 49167:95839ad0 49168:f1012467 49169:fdab37dd 49170:50cdb857 49171:2c4ae7a5 49172:ac40965a 49173:797a3969	-
7	b414796d-14fc-080e-9ce6-a7162e3e562b	7526902	16924
7	95839ad0-b588-0b1d-8475-45fba6ae993c	2501875	686
7	f1012467-de9d-09a9-8b49-62a43945c24b	106	106
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	23290	883393
7	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	69
7	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	64	64
7	ac40965a-bc99-01e4-a2c9-c26b76db013b	37	37
7	797a3969-3f39-0a33-bf84-0827fdcdf7de	69	69
7	legs	49166:b414796d 49167:95839ad0 49168:f1012467 49169:fdab37dd 49170:50cdb857 49171:2c4ae7a5 49172:ac40965a 49173:797a3969	-
8	b414796d-14fc-080e-9ce6-a7162e3e562b	7505325	1949
