# paired reference: 0371ab4b (0323272a60895f56aad82cb767fb5c413807adcf7c9fb0578b1b1c5807c7f29d4c>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13@95839ad0-b588-0b1d-8475-45fba6ae993c,0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1@dc5330cf-5d85-0b70-88e9-e4ab169d17fd) via skysocks-client-ref@127.0.0.1:1081 — one reference row of the same cell immediately before every mux row
# row	cell	ref_MBps	mux_MBps	ratio	ref_ok	mux_ok	ref_legs
1	10down	5.54	4.80	0.866	1	1	1
2	10down	5.52	5.32	0.964	1	1	1
3	10down	5.84	5.09	0.872	1	1	1
4	10down	5.42	5.34	0.985	1	1	1
5	10down	5.52	4.70	0.851	1	1	1
6	10up	6.88	5.13	0.746	1	1	1
7	10up	5.67	7.34	1.295	1	1	1
8	10up	6.98	5.84	0.837	1	1	1
9	50down	7.88	8.38	1.063	1	1	1
10	50down	8.05	5.08	0.631	1	1	1
11	50down	8.52	7.24	0.850	1	1	1
12	50down	6.58	8.28	1.258	1	1	1
13	50down	9.48	5.32	0.561	1	1	1
14	50up	9.26	8.52	0.920	1	1	1
15	50up	10.31	10.06	0.976	1	1	1
16	50up	10.33	9.55	0.924	1	1	1
