# row	tp	sent_delta	recv_delta
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	683	5816218
1	b414796d-14fc-080e-9ce6-a7162e3e562b	40353	5411217
1	legs	49158:b414796d 49159:50cdb857	-
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	365	1614698
2	b414796d-14fc-080e-9ce6-a7162e3e562b	21471	8817889
2	legs	49158:b414796d 49159:50cdb857	-
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	37
3	b414796d-14fc-080e-9ce6-a7162e3e562b	10048618	12556
3	legs	49158:b414796d 49159:50cdb857	-
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	37
4	b414796d-14fc-080e-9ce6-a7162e3e562b	10035232	14335
4	legs	49158:b414796d 49159:50cdb857	-
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1541	16806758
5	b414796d-14fc-080e-9ce6-a7162e3e562b	33500	33393918
5	legs	49158:b414796d 49159:50cdb857	-
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1419	16474289
6	b414796d-14fc-080e-9ce6-a7162e3e562b	51777	33636903
6	legs	49158:b414796d 49159:50cdb857	-
7	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	37
7	b414796d-14fc-080e-9ce6-a7162e3e562b	50106592	18950
7	legs	49158:b414796d 49159:50cdb857	-
8	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	37
8	b414796d-14fc-080e-9ce6-a7162e3e562b	50109256	246902
8	legs	49158:b414796d 49159:50cdb857	-
