# row	tp	sent_delta	recv_delta
1	01f2a564-114e-0f54-8fb4-1224780b138c	111	106
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	74	74
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	42	74
1	95839ad0-b588-0b1d-8475-45fba6ae993c	1108	5938572
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	45	46
1	b414796d-14fc-080e-9ce6-a7162e3e562b	12317	4305693
1	f1012467-de9d-09a9-8b49-62a43945c24b	110	431176
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	179	155439
1	legs	49179:b414796d 49180:95839ad0 49181:f1012467 49182:fdab37dd 49183:2c4ae7a5 49184:ac40965a 49185:50cdb857 49186:01f2a564	-
2	01f2a564-114e-0f54-8fb4-1224780b138c	69	37
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	74	74
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	74	74
2	95839ad0-b588-0b1d-8475-45fba6ae993c	414	2101109
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	106	106
2	b414796d-14fc-080e-9ce6-a7162e3e562b	1870	7918205
2	f1012467-de9d-09a9-8b49-62a43945c24b	74	74
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	74	74
2	legs	49179:b414796d 49180:95839ad0 49181:f1012467 49182:fdab37dd 49183:2c4ae7a5 49184:ac40965a 49185:50cdb857 49186:01f2a564	-
3	01f2a564-114e-0f54-8fb4-1224780b138c	74	122
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	42	106
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	37
3	95839ad0-b588-0b1d-8475-45fba6ae993c	528	2101122
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	45	45
3	b414796d-14fc-080e-9ce6-a7162e3e562b	15125	5948567
3	f1012467-de9d-09a9-8b49-62a43945c24b	769	2002458
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	45	45
3	legs	49179:b414796d 49180:95839ad0 49181:f1012467 49182:fdab37dd 49183:2c4ae7a5 49184:ac40965a 49185:50cdb857 49186:01f2a564	-
4	01f2a564-114e-0f54-8fb4-1224780b138c	79	69
4	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	174	195042
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	142	168925
4	95839ad0-b588-0b1d-8475-45fba6ae993c	209	259
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	142	183574
4	b414796d-14fc-080e-9ce6-a7162e3e562b	10012495	415279
4	f1012467-de9d-09a9-8b49-62a43945c24b	142	431346
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	187	154766
4	legs	49179:b414796d 49180:95839ad0 49181:f1012467 49182:fdab37dd 49183:2c4ae7a5 49184:ac40965a 49185:50cdb857 49186:01f2a564	-
5	01f2a564-114e-0f54-8fb4-1224780b138c	69	69
5	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	37	37
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	45	45
5	95839ad0-b588-0b1d-8475-45fba6ae993c	177	227
5	ac40965a-bc99-01e4-a2c9-c26b76db013b	37	37
5	b414796d-14fc-080e-9ce6-a7162e3e562b	10042629	26631
5	f1012467-de9d-09a9-8b49-62a43945c24b	37	37
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	37	37
5	legs	49179:b414796d 49180:95839ad0 49181:f1012467 49182:fdab37dd 49183:2c4ae7a5 49184:ac40965a 49185:50cdb857 49186:01f2a564	-
6	01f2a564-114e-0f54-8fb4-1224780b138c	53	85
6	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	37	37
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	37
6	95839ad0-b588-0b1d-8475-45fba6ae993c	177	227
6	ac40965a-bc99-01e4-a2c9-c26b76db013b	45	45
6	b414796d-14fc-080e-9ce6-a7162e3e562b	10023963	13770
6	f1012467-de9d-09a9-8b49-62a43945c24b	69	69
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	37	37
6	legs	49179:b414796d 49180:95839ad0 49181:f1012467 49182:fdab37dd 49183:2c4ae7a5 49184:ac40965a 49185:50cdb857 49186:01f2a564	-
7	01f2a564-114e-0f54-8fb4-1224780b138c	217	249
7	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	330	195555
7	50cdb857-a262-0ae5-bf5b-5c93c8025b69	317	171102
7	95839ad0-b588-0b1d-8475-45fba6ae993c	2342	6529261
7	ac40965a-bc99-01e4-a2c9-c26b76db013b	354	183468
7	b414796d-14fc-080e-9ce6-a7162e3e562b	170552	44144069
7	f1012467-de9d-09a9-8b49-62a43945c24b	332	432236
