# mux-tunnels-2 — per-row leg shares, forward = client->exit, reverse = exit->client
# note	the exit snapshots only set start and end, so exit_standby/exit_retx/exit_ack are the set-end values repeated on every row, not per-row deltas
# note	carrier.tsv counts a TRANSPORT, not a route group: a transport another group or app also rides counts that traffic here too
# note	latency_ms is the end-of-set legs.json snapshot, not the latency measured on the row
# note	shares and verdicts are computed over the legs that carried the payload: every leg of an ACTIVE group, plus any leg holding >= 1 % of the payload-direction bytes of the row (a mid-set promotion the set-start role does not yet show); the rest are listed with their bytes and a "-" share
# note	some legs are in scope on bytes alone: their group reads "standby" in the set-start legs.json but they carried >= 1 % of the payload of a row
# note	rev_bytes/rev_share on 16 row(s) are the local recv_delta (rev_basis local-recv): the exit's sent_bytes needs a per-row EXIT_SNAP run against an exit that reports the per-leg byte counters, and either the snapshots or the counters were absent
# row	label	dir	size	leg	rg	role	scope	hops	carrier	latency_ms	remote_pk	fwd_bytes	rev_bytes	fwd_share	rev_share	rev_basis	exit_tp	exit_standby	exit_retx	exit_ack_ms	exit_sent_bytes	exit_recv_bytes
1	mux-tunnels-2-t1	down	10000000	b414796d	49157	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	137.300701	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	788	3959065	35.2%	39.5%	local-recv	b414796d	no	5	470.73	160823685	66726945
1	mux-tunnels-2-t1	down	10000000	95839ad0	49158	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	34.211756	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	884	4080548	39.4%	40.7%	local-recv	dc5330cf	no	7	420.83	180256045	106751900
1	mux-tunnels-2-t1	down	10000000	f1012467	49159	standby	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	138.974771	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	569	1979538	25.4%	19.8%	local-recv	57c570d9	no	11	402.04	9993555	6675453
1	mux-tunnels-2-t1	down	10000000	fdab37dd	49160	standby	out	fdab37dd>03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf;7420f415>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	142.014378	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	37	37	-	-	local-recv	7420f415	no	4	269.38	3136	3008
1	mux-tunnels-2-t1	down	10000000	ac40965a	49161	standby	out	ac40965a>02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7;3de424e0>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	412.417	02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7	37	42	-	-	local-recv	3de424e0	no	5	657.17	3104	3040
1	mux-tunnels-2-t1	down	10000000	2c4ae7a5	49162	standby	out	2c4ae7a5>02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd;d0b47ec2>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	268.920088	02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd	69	69	-	-	local-recv	d0b47ec2	no	3	787.38	3008	2944
1	mux-tunnels-2-t1	down	10000000	50cdb857	49163	standby	out	50cdb857>0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7;38288b5a>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	207.820188	0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7	37	37	-	-	local-recv	38288b5a	no	1	602.6	2848	2848
1	mux-tunnels-2-t1	down	10000000	0439767f	49164	standby	out	0439767f>0304c3daaf319ffb13b7316014ebde7d8dbf89d5109d91821fccc4e75ca102fba9;e10ddcf1>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	1012.371327	0304c3daaf319ffb13b7316014ebde7d8dbf89d5109d91821fccc4e75ca102fba9	37	37	-	-	local-recv	e10ddcf1	no	16	0	3104	3232
2	mux-tunnels-2-t2	down	10000000	b414796d	49157	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	137.300701	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	680	4080511	41.2%	40.7%	local-recv	b414796d	no	5	470.73	160823685	66726945
2	mux-tunnels-2-t2	down	10000000	95839ad0	49158	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	34.211756	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	971	5938736	58.8%	59.3%	local-recv	dc5330cf	no	7	420.83	180256045	106751900
2	mux-tunnels-2-t2	down	10000000	f1012467	49159	standby	out	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	138.974771	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	69	69	-	-	local-recv	57c570d9	no	11	402.04	9993555	6675453
2	mux-tunnels-2-t2	down	10000000	fdab37dd	49160	standby	out	fdab37dd>03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf;7420f415>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	142.014378	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	2161	2437	-	-	local-recv	7420f415	no	4	269.38	3136	3008
2	mux-tunnels-2-t2	down	10000000	ac40965a	49161	standby	out	ac40965a>02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7;3de424e0>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	412.417	02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7	37	37	-	-	local-recv	3de424e0	no	5	657.17	3104	3040
2	mux-tunnels-2-t2	down	10000000	2c4ae7a5	49162	standby	out	2c4ae7a5>02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd;d0b47ec2>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	268.920088	02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd	45	45	-	-	local-recv	d0b47ec2	no	3	787.38	3008	2944
2	mux-tunnels-2-t2	down	10000000	50cdb857	49163	standby	out	50cdb857>0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7;38288b5a>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	207.820188	0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7	5	37	-	-	local-recv	38288b5a	no	1	602.6	2848	2848
2	mux-tunnels-2-t2	down	10000000	0439767f	49164	standby	out	0439767f>0304c3daaf319ffb13b7316014ebde7d8dbf89d5109d91821fccc4e75ca102fba9;e10ddcf1>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	1012.371327	0304c3daaf319ffb13b7316014ebde7d8dbf89d5109d91821fccc4e75ca102fba9	69	69	-	-	local-recv	e10ddcf1	no	16	0	3104	3232
3	mux-tunnels-2-t3	down	10000000	b414796d	49157	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	137.300701	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	766	4080983	38.4%	40.7%	local-recv	b414796d	no	5	470.73	160823685	66726945
3	mux-tunnels-2-t3	down	10000000	95839ad0	49158	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	34.211756	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	1229	5938673	61.6%	59.3%	local-recv	dc5330cf	no	7	420.83	180256045	106751900
3	mux-tunnels-2-t3	down	10000000	f1012467	49159	standby	out	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	138.974771	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	13	77	-	-	local-recv	57c570d9	no	11	402.04	9993555	6675453
3	mux-tunnels-2-t3	down	10000000	fdab37dd	49160	standby	out	fdab37dd>03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf;7420f415>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	142.014378	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	69	37	-	-	local-recv	7420f415	no	4	269.38	3136	3008
3	mux-tunnels-2-t3	down	10000000	ac40965a	49161	standby	out	ac40965a>02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7;3de424e0>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	412.417	02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7	69	69	-	-	local-recv	3de424e0	no	5	657.17	3104	3040
