# row	tp	sent_delta	recv_delta
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	145	203581
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	241	182147
1	7aeb822f-eace-0363-8eee-3092e5a4a504	146	82
1	95839ad0-b588-0b1d-8475-45fba6ae993c	186	17276588
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	320	17694908
1	f1012467-de9d-09a9-8b49-62a43945c24b	13655	20861013
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3754	6162285
1	legs	49201:fdab37dd,95839ad0 49202:f1012467,ac40965a 49203:f1012467 49205:fdab37dd 49206:2c4ae7a5 49207:50cdb857 49208:ac40965a 49209:7aeb822f	-
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	217	203405
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	217	181815
2	7aeb822f-eace-0363-8eee-3092e5a4a504	119	151
2	95839ad0-b588-0b1d-8475-45fba6ae993c	192	34169616
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	255	8180833
2	f1012467-de9d-09a9-8b49-62a43945c24b	8994	10566996
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	11868	16428413
2	legs	49201:fdab37dd,95839ad0 49202:f1012467,ac40965a 49203:f1012467 49205:fdab37dd 49206:2c4ae7a5 49207:50cdb857 49208:ac40965a 49209:7aeb822f	-
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	183	183
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	143	143
3	7aeb822f-eace-0363-8eee-3092e5a4a504	180	180
3	95839ad0-b588-0b1d-8475-45fba6ae993c	27	31
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	161	159
3	f1012467-de9d-09a9-8b49-62a43945c24b	11996	53163411
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	4537	47084762
3	legs	49201:fdab37dd,95839ad0 49202:f1012467,ac40965a 49203:f1012467 49205:fdab37dd 49206:2c4ae7a5 49207:50cdb857 49208:ac40965a 49209:7aeb822f	-
4	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	175	175
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	183	183
4	7aeb822f-eace-0363-8eee-3092e5a4a504	143	143
4	95839ad0-b588-0b1d-8475-45fba6ae993c	18	18
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	206	204
4	f1012467-de9d-09a9-8b49-62a43945c24b	9975	55303467
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	4232	44983842
4	legs	49201:fdab37dd,95839ad0 49202:f1012467,ac40965a 49203:f1012467 49205:fdab37dd 49206:2c4ae7a5 49207:50cdb857 49208:ac40965a 49209:7aeb822f	-
# rg dst_ports before=49201,49202 after=49201,49202 constant
