# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789698388	warmup	360448	9.03	0.41	0.046	434.1	142.2	18	1971
1789698394	mux-tunnels-2-pre	360576	9.32	0.42	0.048	434.1	169.6	18	2008
1789698667	mux-tunnels-2-post	434584	35.02	0.39	0.056	434.9	236.1	70	4249
1789698704	mux-tunnels-2-settled	419800	37.89	0.20	0.088	435.5	185.4	73	4473
1789698727	mux-legs-2-pre	419800	39.41	0.34	0.064	435.8	309.7	73	4440
1789698918	mux-legs-2-post	435464	61.16	0.31	0.086	451.8	241.9	121	4515
1789698954	mux-legs-2-settled	435464	63.23	0.31	0.042	451.8	287.6	122	4533
1789699048	mux-tunnels-2-up2-pre	409220	68.97	0.25	0.048	452.2	241.7	127	4748
1789699110	mux-tunnels-2-up2-post	479944	78.86	0.42	0.054	468.2	250.5	155	4823
1789699146	mux-tunnels-2-up2-settled	430936	81.28	0.23	0.054	468.5	238.0	157	4843
