# mux-tunnels-2 — per-row leg shares, forward = client->exit, reverse = exit->client
# note	the exit snapshots only set start and end, so exit_standby/exit_retx/exit_ack are the set-end values repeated on every row, not per-row deltas
# note	carrier.tsv counts a TRANSPORT, not a route group: a transport another group or app also rides counts that traffic here too
# note	latency_ms is the end-of-set legs.json snapshot, not the latency measured on the row
# note	shares and verdicts are computed over the legs that carried the payload: every leg of an ACTIVE group, plus any leg holding >= 1 % of the payload-direction bytes of the row (a mid-set promotion the set-start role does not yet show); the rest are listed with their bytes and a "-" share
# note	some legs are in scope on bytes alone: their group reads "standby" in the set-start legs.json but they carried >= 1 % of the payload of a row
# note	rev_bytes/rev_share on 16 row(s) are the local recv_delta (rev_basis local-recv): the exit's sent_bytes needs a per-row EXIT_SNAP run against an exit that reports the per-leg byte counters, and either the snapshots or the counters were absent
# row	label	dir	size	leg	rg	role	scope	hops	carrier	latency_ms	remote_pk	fwd_bytes	rev_bytes	fwd_share	rev_share	rev_basis	exit_tp	exit_standby	exit_retx	exit_ack_ms	exit_sent_bytes	exit_recv_bytes
1	mux-tunnels-2-t1	down	10000000	b414796d	49160	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	136.114	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	729	1979543	31.7%	19.8%	local-recv	b414796d	no	2	235.48	160415772	63390280
1	mux-tunnels-2-t1	down	10000000	95839ad0	49161	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	132.816	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	1571	8039745	68.3%	80.2%	local-recv	dc5330cf	no	6	451.18	184344259	116760273
1	mux-tunnels-2-t1	down	10000000	f1012467	49162	standby	out	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	141.586	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	106	106	-	-	local-recv	57c570d9	no	1	243.9	6306788	4548
1	mux-tunnels-2-t1	down	10000000	fdab37dd	49163	standby	out	fdab37dd>03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf;7420f415>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	145.161	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	69722	47651	-	-	local-recv	7420f415	no	0	247.57	3072	3104
1	mux-tunnels-2-t1	down	10000000	ac40965a	49164	standby	out	ac40965a>02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7;3de424e0>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	401.347	02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7	42	74	-	-	local-recv	3de424e0	no	4	493.14	3136	3072
1	mux-tunnels-2-t1	down	10000000	2c4ae7a5	49165	standby	out	2c4ae7a5>02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd;d0b47ec2>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	410.374	02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd	45	45	-	-	local-recv	d0b47ec2	no	5	504.21	3136	2976
1	mux-tunnels-2-t1	down	10000000	50cdb857	49166	standby	out	50cdb857>0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7;38288b5a>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	199.300918	0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7	37	37	-	-	local-recv	38288b5a	no	5	596.34	3040	3008
1	mux-tunnels-2-t1	down	10000000	0d19170b	49167	standby	out	0d19170b>03852490a5cb7f48e8d20af0a4c558a605a2ef26b61ae75a78295c442697ecd375;b625e9da>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	sudph	60.151738	03852490a5cb7f48e8d20af0a4c558a605a2ef26b61ae75a78295c442697ecd375	77	77	-	-	local-recv	b625e9da	no	0	311.24	2848	2880
2	mux-tunnels-2-t2	down	10000000	b414796d	49160	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	136.114	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	145	4244	8.4%	0.0%	local-recv	b414796d	no	2	235.48	160415772	63390280
2	mux-tunnels-2-t2	down	10000000	95839ad0	49161	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	132.816	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	1576	10019489	91.6%	100.0%	local-recv	dc5330cf	no	6	451.18	184344259	116760273
