# paired reference: 0371ab4b (0323272a60895f56aad82cb767fb5c413807adcf7c9fb0578b1b1c5807c7f29d4c>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13@95839ad0-b588-0b1d-8475-45fba6ae993c,0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1@dc5330cf-5d85-0b70-88e9-e4ab169d17fd) via skysocks-client-ref@127.0.0.1:1081 — one reference row of the same cell immediately before every mux row
# row	cell	ref_MBps	mux_MBps	ratio	ref_ok	mux_ok	ref_legs
1	10down	5.17	5.76	1.114	1	1	1
2	10down	5.28	5.03	0.953	1	1	1
3	10down	5.33	4.98	0.934	1	1	1
4	10down	5.63	5.56	0.988	1	1	1
5	10down	5.24	5.86	1.118	1	1	1
6	10up	5.47	5.84	1.068	1	1	1
7	10up	6.77	3.12	0.461	1	1	1
8	10up	6.74	4.20	0.623	1	1	1
9	50down	7.99	8.39	1.050	1	1	1
10	50down	7.79	8.90	1.142	1	1	1
11	50down	7.13	9.18	1.288	1	1	1
12	50down	7.47	8.83	1.182	1	1	1
13	50down	7.30	9.23	1.264	1	1	1
14	50up	9.55	9.90	1.037	1	1	1
15	50up	10.31	9.85	0.955	1	1	1
16	50up	10.31	10.55	1.023	1	1	1
