# row	tp	sent_delta	recv_delta
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1073	10017879
1	b414796d-14fc-080e-9ce6-a7162e3e562b	0	248
1	legs	49159:b414796d 49160:50cdb857	-
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1436	10017842
2	b414796d-14fc-080e-9ce6-a7162e3e562b	58	107
2	legs	49159:b414796d 49160:50cdb857	-
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	10031773	1140
3	b414796d-14fc-080e-9ce6-a7162e3e562b	3622	2067
3	legs	49159:b414796d 49160:50cdb857	-
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	10181230	2294
4	b414796d-14fc-080e-9ce6-a7162e3e562b	24870	5992
4	legs	49159:b414796d 49160:50cdb857	-
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	3834	50094109
5	b414796d-14fc-080e-9ce6-a7162e3e562b	1443	116079
5	legs	49159:b414796d 49160:50cdb857	-
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	2539	33281085
6	b414796d-14fc-080e-9ce6-a7162e3e562b	2052	16806809
6	legs	49159:b414796d 49160:50cdb857	-
7	50cdb857-a262-0ae5-bf5b-5c93c8025b69	51325224	7776
7	b414796d-14fc-080e-9ce6-a7162e3e562b	318833	3477952
7	legs	49159:b414796d 49160:50cdb857	-
8	50cdb857-a262-0ae5-bf5b-5c93c8025b69	50897124	1166719
8	b414796d-14fc-080e-9ce6-a7162e3e562b	86085	3004998
8	legs	49159:b414796d 49160:50cdb857	-
