# row	tp	sent_delta	recv_delta
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	975	10251588
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1	164613
1	95839ad0-b588-0b1d-8475-45fba6ae993c	0	0
1	legs	49168:fdab37dd,50cdb857,95839ad0	-
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	2111	10410040
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1	754922
2	95839ad0-b588-0b1d-8475-45fba6ae993c	1	0
2	legs	49168:fdab37dd,50cdb857,95839ad0	-
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	2712	10730242
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	17	2174099
3	95839ad0-b588-0b1d-8475-45fba6ae993c	17	16
3	legs	49168:fdab37dd,50cdb857,95839ad0	-
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	2034	7896022
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	115	2300193
4	95839ad0-b588-0b1d-8475-45fba6ae993c	1	0
4	legs	49168:fdab37dd,50cdb857,95839ad0	-
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	4346	6695455
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	0	1673882
5	95839ad0-b588-0b1d-8475-45fba6ae993c	65	1843966
5	legs	49168:fdab37dd,50cdb857,95839ad0	-
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10016606	183
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1	151
6	95839ad0-b588-0b1d-8475-45fba6ae993c	32789	363
6	legs	49168:fdab37dd,50cdb857,95839ad0	-
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3446287	2592
7	50cdb857-a262-0ae5-bf5b-5c93c8025b69	3127536	17
7	95839ad0-b588-0b1d-8475-45fba6ae993c	4258631	25
7	legs	49168:fdab37dd,50cdb857,95839ad0	-
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3324602	167719
8	50cdb857-a262-0ae5-bf5b-5c93c8025b69	3347814	160699
8	95839ad0-b588-0b1d-8475-45fba6ae993c	4328088	509334
8	legs	49168:fdab37dd,50cdb857,95839ad0	-
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3324531	5753
9	50cdb857-a262-0ae5-bf5b-5c93c8025b69	3347735	1
9	95839ad0-b588-0b1d-8475-45fba6ae993c	4820725	1
9	legs	49168:fdab37dd,50cdb857,95839ad0	-
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3347828	5330
10	50cdb857-a262-0ae5-bf5b-5c93c8025b69	3344169	25
10	95839ad0-b588-0b1d-8475-45fba6ae993c	4702492	17
10	legs	49168:fdab37dd,50cdb857,95839ad0	-
11	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3861	35439025
11	50cdb857-a262-0ae5-bf5b-5c93c8025b69	73	160689
11	95839ad0-b588-0b1d-8475-45fba6ae993c	370	16854556
11	legs	49168:fdab37dd,50cdb857,95839ad0	-
12	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	15997	26497785
12	50cdb857-a262-0ae5-bf5b-5c93c8025b69	2	0
12	95839ad0-b588-0b1d-8475-45fba6ae993c	2	41604036
12	legs	49168:fdab37dd,50cdb857,95839ad0	-
13	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	8610	21529397
13	50cdb857-a262-0ae5-bf5b-5c93c8025b69	17	16
13	95839ad0-b588-0b1d-8475-45fba6ae993c	17	33046330
13	legs	49168:fdab37dd,50cdb857,95839ad0	-
14	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	6266	37018494
14	50cdb857-a262-0ae5-bf5b-5c93c8025b69	82	18894060
14	95839ad0-b588-0b1d-8475-45fba6ae993c	90	3237820
14	legs	49168:fdab37dd,50cdb857,95839ad0	-
15	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1017	50089248
15	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1	0
15	95839ad0-b588-0b1d-8475-45fba6ae993c	1	0
15	legs	49168:fdab37dd,50cdb857,95839ad0	-
16	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50112749	1037
16	50cdb857-a262-0ae5-bf5b-5c93c8025b69	17	0
16	95839ad0-b588-0b1d-8475-45fba6ae993c	17	16
16	legs	49168:fdab37dd,50cdb857,95839ad0	-
17	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	35030283	164860
17	50cdb857-a262-0ae5-bf5b-5c93c8025b69	81	161022
17	95839ad0-b588-0b1d-8475-45fba6ae993c	15326131	510214
17	legs	49168:fdab37dd,50cdb857,95839ad0	-
18	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50079871	902
18	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1	0
18	95839ad0-b588-0b1d-8475-45fba6ae993c	1	0
18	legs	49168:fdab37dd,50cdb857,95839ad0	-
19	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50114533	1078
19	50cdb857-a262-0ae5-bf5b-5c93c8025b69	17	16
19	95839ad0-b588-0b1d-8475-45fba6ae993c	25	24
19	legs	49168:fdab37dd,50cdb857,95839ad0	-
20	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50112810	162652
20	50cdb857-a262-0ae5-bf5b-5c93c8025b69	80	163919
20	95839ad0-b588-0b1d-8475-45fba6ae993c	82	510266
20	legs	49168:fdab37dd,50cdb857,95839ad0	-
# rg src_port before=49168 after=49168 constant
