# row	tp	sent_delta	recv_delta
1	95839ad0-b588-0b1d-8475-45fba6ae993c	38	1225724
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	38	959857
1	b414796d-14fc-080e-9ce6-a7162e3e562b	2954	2387530
1	f1012467-de9d-09a9-8b49-62a43945c24b	3519	1288124
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1485	5008660
1	legs	49172:fdab37dd,95839ad0 49173:f1012467,ac40965a 49174:f1012467 49178:fdab37dd 49179:ac40965a 49180:b414796d 49181:2c4ae7a5	-
2	95839ad0-b588-0b1d-8475-45fba6ae993c	117	1620922
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	116	1154990
2	b414796d-14fc-080e-9ce6-a7162e3e562b	3563	388178
2	f1012467-de9d-09a9-8b49-62a43945c24b	3075	3380174
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	2065	7656440
2	legs	49172:fdab37dd,95839ad0 49173:f1012467,ac40965a 49174:f1012467 49178:fdab37dd 49179:ac40965a 49180:b414796d 49181:2c4ae7a5 49182:50cdb857	-
3	95839ad0-b588-0b1d-8475-45fba6ae993c	37	5686844
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	38	1090688
3	b414796d-14fc-080e-9ce6-a7162e3e562b	37	91
3	f1012467-de9d-09a9-8b49-62a43945c24b	3168	2271935
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1874	2329895
3	legs	49172:fdab37dd,95839ad0 49173:f1012467,ac40965a 49174:f1012467 49178:fdab37dd 49179:ac40965a 49180:b414796d 49181:2c4ae7a5 49182:50cdb857	-
4	95839ad0-b588-0b1d-8475-45fba6ae993c	2925459	454627
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	285	177654
4	b414796d-14fc-080e-9ce6-a7162e3e562b	2469	387899
4	f1012467-de9d-09a9-8b49-62a43945c24b	3108	424939
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	15801508	160696
4	legs	49172:fdab37dd,95839ad0 49173:f1012467,ac40965a 49174:f1012467 49178:fdab37dd 49179:ac40965a 49180:b414796d 49181:2c4ae7a5 49182:50cdb857	-
5	95839ad0-b588-0b1d-8475-45fba6ae993c	2924573	37
5	ac40965a-bc99-01e4-a2c9-c26b76db013b	1	1
5	b414796d-14fc-080e-9ce6-a7162e3e562b	1909	281
5	f1012467-de9d-09a9-8b49-62a43945c24b	4199246	2282
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	2885079	1398
5	legs	49172:fdab37dd,95839ad0 49173:f1012467,ac40965a 49174:f1012467 49178:fdab37dd 49179:ac40965a 49180:b414796d 49181:2c4ae7a5 49182:50cdb857	-
6	95839ad0-b588-0b1d-8475-45fba6ae993c	5548106	1
6	ac40965a-bc99-01e4-a2c9-c26b76db013b	136	38
6	b414796d-14fc-080e-9ce6-a7162e3e562b	5	91
6	f1012467-de9d-09a9-8b49-62a43945c24b	3355	3484
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	4982662	2259
6	legs	49172:fdab37dd,95839ad0 49173:f1012467,ac40965a 49174:f1012467 49178:fdab37dd 49179:ac40965a 49180:b414796d 49181:2c4ae7a5 49182:50cdb857	-
7	95839ad0-b588-0b1d-8475-45fba6ae993c	308	445229
7	ac40965a-bc99-01e4-a2c9-c26b76db013b	789	9299450
7	b414796d-14fc-080e-9ce6-a7162e3e562b	10862	393167
7	f1012467-de9d-09a9-8b49-62a43945c24b	13107	39530489
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3418	26287499
7	legs	49172:fdab37dd,95839ad0 49173:f1012467,ac40965a 49174:f1012467 49178:fdab37dd 49179:ac40965a 49180:b414796d 49181:2c4ae7a5 49182:50cdb857	-
