# row	tp	sent_delta	recv_delta
1	b414796d-14fc-080e-9ce6-a7162e3e562b	1694	3959619
1	f1012467-de9d-09a9-8b49-62a43945c24b	725	3959458
1	95839ad0-b588-0b1d-8475-45fba6ae993c	570	2101122
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	45	45
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	37	45
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	140	4207
1	f92bb572-e2d4-0d53-b732-5342265bca62	10	141
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	180	175532
1	legs	49235:b414796d 49236:f1012467 49238:95839ad0 49239:fdab37dd 49240:ac40965a 49241:2c4ae7a5 49242:f92bb572 49243:50cdb857	-
2	b414796d-14fc-080e-9ce6-a7162e3e562b	6445	6452042
2	f1012467-de9d-09a9-8b49-62a43945c24b	1076	3959410
2	95839ad0-b588-0b1d-8475-45fba6ae993c	37	37
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	69	69
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	45	45
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	37	37
2	f92bb572-e2d4-0d53-b732-5342265bca62	37	42
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	69	69
2	legs	49235:b414796d 49236:f1012467 49238:95839ad0 49239:fdab37dd 49240:ac40965a 49241:2c4ae7a5 49242:f92bb572 49243:50cdb857	-
3	b414796d-14fc-080e-9ce6-a7162e3e562b	8396892	4696
3	f1012467-de9d-09a9-8b49-62a43945c24b	1614459	3371
3	95839ad0-b588-0b1d-8475-45fba6ae993c	74	74
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	74	74
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	42	74
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	69	69
3	f92bb572-e2d4-0d53-b732-5342265bca62	37	37
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	37
