# row	tp	sent_delta	recv_delta
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3848	3829391
1	95839ad0-b588-0b1d-8475-45fba6ae993c	838	13273623
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	272	3916112
1	legs	49168:fdab37dd,95839ad0,50cdb857	-
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	4991	2513596
2	95839ad0-b588-0b1d-8475-45fba6ae993c	759	20463145
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	201	3363665
2	legs	49168:fdab37dd,95839ad0,50cdb857	-
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	4630	2941047
3	95839ad0-b588-0b1d-8475-45fba6ae993c	888	18373720
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	258	3257538
3	legs	49168:fdab37dd,95839ad0,50cdb857	-
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	4682	10717945
4	95839ad0-b588-0b1d-8475-45fba6ae993c	798	5220337
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	208	3318834
4	legs	49168:fdab37dd,95839ad0,50cdb857	-
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	4511	14853972
5	95839ad0-b588-0b1d-8475-45fba6ae993c	869	3806878
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	271	3221436
5	legs	49168:fdab37dd,95839ad0,50cdb857	-
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	7227522	3015
6	95839ad0-b588-0b1d-8475-45fba6ae993c	8122735	285
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	229901	206
6	legs	49168:fdab37dd,95839ad0,50cdb857	-
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3343505	5155
7	95839ad0-b588-0b1d-8475-45fba6ae993c	9968039	300
7	50cdb857-a262-0ae5-bf5b-5c93c8025b69	3156881	298
7	legs	49168:fdab37dd,95839ad0,50cdb857	-
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3262987	5516
8	95839ad0-b588-0b1d-8475-45fba6ae993c	14309875	526300
8	50cdb857-a262-0ae5-bf5b-5c93c8025b69	3486265	168413
8	legs	49168:fdab37dd,95839ad0,50cdb857	-
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3275882	156981
9	95839ad0-b588-0b1d-8475-45fba6ae993c	8924518	243
9	50cdb857-a262-0ae5-bf5b-5c93c8025b69	3309063	241
9	legs	49168:fdab37dd,95839ad0,50cdb857	-
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3380968	3607
10	95839ad0-b588-0b1d-8475-45fba6ae993c	8667176	299
10	50cdb857-a262-0ae5-bf5b-5c93c8025b69	3315283	297
10	legs	49168:fdab37dd,95839ad0,50cdb857	-
11	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	18160	35239941
11	95839ad0-b588-0b1d-8475-45fba6ae993c	1613	56861916
11	50cdb857-a262-0ae5-bf5b-5c93c8025b69	631	14926890
11	legs	49168:fdab37dd,95839ad0,50cdb857	-
12	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	20427	22465158
12	95839ad0-b588-0b1d-8475-45fba6ae993c	1326	67121398
12	50cdb857-a262-0ae5-bf5b-5c93c8025b69	418	15590448
12	legs	49168:fdab37dd,95839ad0,50cdb857	-
13	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	20762	18042766
13	95839ad0-b588-0b1d-8475-45fba6ae993c	1595	70312466
13	50cdb857-a262-0ae5-bf5b-5c93c8025b69	479	15228006
13	legs	49168:fdab37dd,95839ad0,50cdb857	-
14	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	21264	14215402
14	95839ad0-b588-0b1d-8475-45fba6ae993c	1334	72961128
14	50cdb857-a262-0ae5-bf5b-5c93c8025b69	424	17437907
14	legs	49168:fdab37dd,95839ad0,50cdb857	-
15	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	24970	66141901
15	95839ad0-b588-0b1d-8475-45fba6ae993c	1934	38661854
15	50cdb857-a262-0ae5-bf5b-5c93c8025b69	482	16243873
15	legs	49168:fdab37dd,95839ad0,50cdb857	-
16	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	23197701	17514
16	95839ad0-b588-0b1d-8475-45fba6ae993c	45911597	459
16	50cdb857-a262-0ae5-bf5b-5c93c8025b69	16378091	1375
16	legs	49168:fdab37dd,95839ad0,50cdb857	-
17	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	46116380	346765
17	95839ad0-b588-0b1d-8475-45fba6ae993c	21731433	980870
17	50cdb857-a262-0ae5-bf5b-5c93c8025b69	15671489	335932
17	legs	49168:fdab37dd,95839ad0,50cdb857	-
18	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	17416920	173667
18	95839ad0-b588-0b1d-8475-45fba6ae993c	46342082	455048
18	50cdb857-a262-0ae5-bf5b-5c93c8025b69	16152783	167356
18	legs	49168:fdab37dd,95839ad0,50cdb857	-
19	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	17297738	339904
19	95839ad0-b588-0b1d-8475-45fba6ae993c	52570000	1048671
19	50cdb857-a262-0ae5-bf5b-5c93c8025b69	15208327	340798
19	legs	49168:fdab37dd,95839ad0,50cdb857	-
20	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	15538908	185321
20	95839ad0-b588-0b1d-8475-45fba6ae993c	53940030	527166
20	50cdb857-a262-0ae5-bf5b-5c93c8025b69	16777484	169415
20	legs	49168:fdab37dd,95839ad0,50cdb857	-
# rg src_port before=49168 after=49168 constant
