# mux-compose-T2xL2 — per-row leg shares, forward = client->exit, reverse = exit->client
# note	the exit snapshots only set start and end, so exit_standby/exit_retx/exit_ack are the set-end values repeated on every row, not per-row deltas
# note	carrier.tsv counts a TRANSPORT, not a route group: a transport another group or app also rides counts that traffic here too
# note	latency_ms is the end-of-set legs.json snapshot, not the latency measured on the row
# note	shares and verdicts are computed over the legs that carried the payload: every leg of an ACTIVE group, plus any leg holding >= 1 % of the payload-direction bytes of the row (a mid-set promotion the set-start role does not yet show); the rest are listed with their bytes and a "-" share
# note	some legs are in scope on bytes alone: their group reads "standby" in the set-start legs.json but they carried >= 1 % of the payload of a row
# note	rev_bytes/rev_share on 21 row(s) are the local recv_delta (rev_basis local-recv): the exit's sent_bytes needs a per-row EXIT_SNAP run against an exit that reports the per-leg byte counters, and either the snapshots or the counters were absent
# row	label	dir	size	leg	rg	role	scope	hops	carrier	latency_ms	remote_pk	fwd_bytes	rev_bytes	fwd_share	rev_share	rev_basis	exit_tp	exit_standby	exit_retx	exit_ack_ms	exit_sent_bytes	exit_recv_bytes
1	mux-compose-T2xL2-t1	down	10000000	fdab37dd	49175,49177	active	in	fdab37dd>03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf;7420f415>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	166.214	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	1643	3430677	20.6%	23.1%	local-recv	7420f415	no	24	3757.57	6784	7136
1	mux-compose-T2xL2-t1	down	10000000	95839ad0	49175,49179	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	43.805339	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	321	6372780	4.0%	43.0%	local-recv	dc5330cf	no	32	2171.23	18173902	10858251
1	mux-compose-T2xL2-t1	down	10000000	f1012467	49176	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	141.661	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	5961	4179061	74.9%	28.2%	local-recv	57c570d9	no	3231	1019.51	270516195	68214590
1	mux-compose-T2xL2-t1	down	10000000	50cdb857	49176,49181	active	in	50cdb857>0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7;38288b5a>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	201.769883	0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7	38	853508	0.5%	5.8%	local-recv	38288b5a	no	39	992.61	5632	6176
1	mux-compose-T2xL2-t1	down	10000000	ac40965a	49180	standby	out	ac40965a>02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7;3de424e0>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	254.633812	02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7	37	37	-	-	local-recv	3de424e0	no	3	560.78	6016	6016
1	mux-compose-T2xL2-t1	down	10000000	2c4ae7a5	49182	standby	out	2c4ae7a5>02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd;d0b47ec2>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	256.74487	02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd	133	101	-	-	local-recv	d0b47ec2	no	5	551.03	5952	6016
1	mux-compose-T2xL2-t1	down	10000000	b414796d	49183	standby	out	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	145.47293	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	17232	10022	-	-	local-recv	b414796d	no	3	328.33	4108516	6475
2	mux-compose-T2xL2-t2	down	10000000	fdab37dd	49175,49177	active	in	fdab37dd>03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf;7420f415>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	166.214	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	1912	4713114	52.5%	31.6%	local-recv	7420f415	no	24	3757.57	6784	7136
2	mux-compose-T2xL2-t2	down	10000000	95839ad0	49175,49179	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	43.805339	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	320	5336511	8.8%	35.8%	local-recv	dc5330cf	no	32	2171.23	18173902	10858251
2	mux-compose-T2xL2-t2	down	10000000	f1012467	49176	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	141.661	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	1063	4331903	29.2%	29.1%	local-recv	57c570d9	no	3231	1019.51	270516195	68214590
2	mux-compose-T2xL2-t2	down	10000000	50cdb857	49176,49181	active	in	50cdb857>0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7;38288b5a>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	201.769883	0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7	206	334883	5.7%	2.2%	local-recv	38288b5a	no	39	992.61	5632	6176
2	mux-compose-T2xL2-t2	down	10000000	ac40965a	49180	standby	out	ac40965a>02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7;3de424e0>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	254.633812	02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7	183	183	-	-	local-recv	3de424e0	no	3	560.78	6016	6016
2	mux-compose-T2xL2-t2	down	10000000	2c4ae7a5	49182	standby	in	2c4ae7a5>02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd;d0b47ec2>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	256.74487	02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd	143	186115	3.9%	1.2%	local-recv	d0b47ec2	no	5	551.03	5952	6016
2	mux-compose-T2xL2-t2	down	10000000	b414796d	49183	standby	out	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	145.47293	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	69748	46162	-	-	local-recv	b414796d	no	3	328.33	4108516	6475
3	mux-compose-T2xL2-t3	down	10000000	fdab37dd	49175,49177	active	in	fdab37dd>03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf;7420f415>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	166.214	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	1580	7038387	22.0%	54.7%	local-recv	7420f415	no	24	3757.57	6784	7136
3	mux-compose-T2xL2-t3	down	10000000	95839ad0	49175,49179	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	43.805339	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	527	3217216	7.3%	25.0%	local-recv	dc5330cf	no	32	2171.23	18173902	10858251
