# paired reference: 0371ab4b (0323272a60895f56aad82cb767fb5c413807adcf7c9fb0578b1b1c5807c7f29d4c>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13@95839ad0-b588-0b1d-8475-45fba6ae993c,0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1@dc5330cf-5d85-0b70-88e9-e4ab169d17fd) via skysocks-client-ref@127.0.0.1:1081 — one reference row of the same cell immediately before every mux row
# row	cell	ref_MBps	mux_MBps	ratio	ref_ok	mux_ok	ref_legs
1	10down	5.67	4.24	0.748	1	1	1
2	10down	5.18	0.66	0.127	1	1	1
3	10down	5.05	4.15	0.822	1	1	1
4	10down	5.30	4.53	0.855	1	1	1
5	10down	4.92	3.07	0.624	1	1	1
6	10up	7.14	3.59	0.503	1	1	1
7	10up	7.14	0.29	0.041	1	1	1
8	10up	7.01	0.40	0.057	1	1	1
9	50down	7.15	0.00	-	1	0	1
10	50down	7.78	1.81	0.233	1	1	1
11	50down	5.17	4.93	0.954	1	1	1
12	50down	7.13	4.18	0.586	1	1	1
13	50down	5.68	6.65	1.171	1	1	1
14	50up	10.23	1.57	0.153	1	1	1
15	50up	10.32	1.11	0.108	1	1	1
16	50up	10.06	1.21	0.120	1	1	1
17	100down	7.95	4.92	0.619	1	1	1
18	100down	8.42	4.73	0.562	1	1	1
19	100down	8.21	5.03	0.613	1	1	1
20	100down	8.01	4.03	0.503	1	1	1
21	100down	8.30	6.33	0.763	1	1	1
