# row	tp	sent_delta	recv_delta
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1547	7514175
1	95839ad0-b588-0b1d-8475-45fba6ae993c	115	3322745
1	legs	49159:fdab37dd,95839ad0	-
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1568	9489141
2	95839ad0-b588-0b1d-8475-45fba6ae993c	115	2003982
2	legs	49159:fdab37dd,95839ad0	-
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10016429	594
3	95839ad0-b588-0b1d-8475-45fba6ae993c	1	78
3	legs	49159:fdab37dd,95839ad0	-
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10006444	987
4	95839ad0-b588-0b1d-8475-45fba6ae993c	75496	45
4	legs	49159:fdab37dd,95839ad0	-
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	2593	45989009
5	95839ad0-b588-0b1d-8475-45fba6ae993c	329	4189430
5	legs	49159:fdab37dd,95839ad0	-
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	8798	42620510
6	95839ad0-b588-0b1d-8475-45fba6ae993c	72	12296792
6	legs	49159:fdab37dd,95839ad0	-
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	13835966	3237
7	95839ad0-b588-0b1d-8475-45fba6ae993c	36244122	215
7	legs	49159:fdab37dd,95839ad0	-
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	40928549	167743
8	95839ad0-b588-0b1d-8475-45fba6ae993c	13501618	500026
8	legs	49159:fdab37dd,95839ad0	-
# rg src_port before=49159 after=49159 constant
