# row	tp	sent_delta	recv_delta
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	804	10145970
1	95839ad0-b588-0b1d-8475-45fba6ae993c	1	1
1	legs	49173:fdab37dd,95839ad0	-
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	708	10295281
2	95839ad0-b588-0b1d-8475-45fba6ae993c	1	1
2	legs	49173:fdab37dd,95839ad0	-
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	774	10344551
3	95839ad0-b588-0b1d-8475-45fba6ae993c	72	517156
3	legs	49173:fdab37dd,95839ad0	-
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	693	10092226
4	95839ad0-b588-0b1d-8475-45fba6ae993c	1	1
4	legs	49173:fdab37dd,95839ad0	-
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	693	10171287
5	95839ad0-b588-0b1d-8475-45fba6ae993c	0	0
5	legs	49173:fdab37dd,95839ad0	-
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10049189	761
6	95839ad0-b588-0b1d-8475-45fba6ae993c	0	0
6	legs	49173:fdab37dd,95839ad0	-
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10049828	724
7	95839ad0-b588-0b1d-8475-45fba6ae993c	1	1
7	legs	49173:fdab37dd,95839ad0	-
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10049152	729
8	95839ad0-b588-0b1d-8475-45fba6ae993c	72	517537
8	legs	49173:fdab37dd,95839ad0	-
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10049229	822
9	95839ad0-b588-0b1d-8475-45fba6ae993c	1	1
9	legs	49173:fdab37dd,95839ad0	-
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10049152	724
10	95839ad0-b588-0b1d-8475-45fba6ae993c	1	1
10	legs	49173:fdab37dd,95839ad0	-
11	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1230	50382008
11	95839ad0-b588-0b1d-8475-45fba6ae993c	10	10
11	legs	49173:fdab37dd,95839ad0	-
12	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1237	50357448
12	95839ad0-b588-0b1d-8475-45fba6ae993c	88	520030
12	legs	49173:fdab37dd,95839ad0	-
13	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1050	50104932
13	95839ad0-b588-0b1d-8475-45fba6ae993c	10	10
13	legs	49173:fdab37dd,95839ad0	-
14	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	974	50237654
14	95839ad0-b588-0b1d-8475-45fba6ae993c	88	519909
14	legs	49173:fdab37dd,95839ad0	-
15	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	783	50079978
15	95839ad0-b588-0b1d-8475-45fba6ae993c	1	1
15	legs	49173:fdab37dd,95839ad0	-
16	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50079908	959
16	95839ad0-b588-0b1d-8475-45fba6ae993c	2	2
16	legs	49173:fdab37dd,95839ad0	-
17	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50095446	157964
17	95839ad0-b588-0b1d-8475-45fba6ae993c	80	519928
17	legs	49173:fdab37dd,95839ad0	-
18	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50431171	1713
18	95839ad0-b588-0b1d-8475-45fba6ae993c	2	2
18	legs	49173:fdab37dd,95839ad0	-
19	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50715913	159044
19	95839ad0-b588-0b1d-8475-45fba6ae993c	97	519368
19	legs	49173:fdab37dd,95839ad0	-
20	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50112848	1170
20	95839ad0-b588-0b1d-8475-45fba6ae993c	1	1
20	legs	49173:fdab37dd,95839ad0	-
# rg src_port before=49173 after=49173 constant
