# row	tp	sent_delta	recv_delta
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	6403	12823719
1	95839ad0-b588-0b1d-8475-45fba6ae993c	1117	7310151
1	legs	49169:fdab37dd,95839ad0	-
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1946	5389098
2	95839ad0-b588-0b1d-8475-45fba6ae993c	738	10334626
2	legs	49169:fdab37dd,95839ad0	-
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1754	5025867
3	95839ad0-b588-0b1d-8475-45fba6ae993c	739	10402686
3	legs	49169:fdab37dd,95839ad0	-
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1887	4960725
4	95839ad0-b588-0b1d-8475-45fba6ae993c	739	10500670
4	legs	49169:fdab37dd,95839ad0	-
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1689	5066586
5	95839ad0-b588-0b1d-8475-45fba6ae993c	738	10410857
5	legs	49169:fdab37dd,95839ad0	-
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3782971	162182
6	95839ad0-b588-0b1d-8475-45fba6ae993c	17495305	529255
6	legs	49169:fdab37dd,95839ad0	-
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	141499	1974
7	95839ad0-b588-0b1d-8475-45fba6ae993c	15287534	1095
7	legs	49169:fdab37dd,95839ad0	-
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	141647	3578
8	95839ad0-b588-0b1d-8475-45fba6ae993c	15352924	391
8	legs	49169:fdab37dd,95839ad0	-
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10598	3413
9	95839ad0-b588-0b1d-8475-45fba6ae993c	15648010	251
9	legs	49169:fdab37dd,95839ad0	-
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3255974	3531
10	95839ad0-b588-0b1d-8475-45fba6ae993c	12698471	530151
10	legs	49169:fdab37dd,95839ad0	-
11	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	6242	27930536
11	95839ad0-b588-0b1d-8475-45fba6ae993c	638	49997346
11	legs	49169:fdab37dd,95839ad0	-
12	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	8260	25064683
12	95839ad0-b588-0b1d-8475-45fba6ae993c	422	51687580
12	legs	49169:fdab37dd,95839ad0	-
13	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10231	25046743
13	95839ad0-b588-0b1d-8475-45fba6ae993c	365	54585214
13	legs	49169:fdab37dd,95839ad0	-
14	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	11730	40684159
14	95839ad0-b588-0b1d-8475-45fba6ae993c	414	38510467
14	legs	49169:fdab37dd,95839ad0	-
15	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	11779	43850913
15	95839ad0-b588-0b1d-8475-45fba6ae993c	1423	37092073
15	legs	49169:fdab37dd,95839ad0	-
16	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	24939331	6074
16	95839ad0-b588-0b1d-8475-45fba6ae993c	51412357	1928
16	legs	49169:fdab37dd,95839ad0	-
17	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	22921224	5540
17	95839ad0-b588-0b1d-8475-45fba6ae993c	54004807	1552
17	legs	49169:fdab37dd,95839ad0	-
18	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3059178	164904
18	95839ad0-b588-0b1d-8475-45fba6ae993c	73976732	529440
18	legs	49169:fdab37dd,95839ad0	-
19	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50080071	13907
19	95839ad0-b588-0b1d-8475-45fba6ae993c	1	1
19	legs	49169:fdab37dd,95839ad0	-
20	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50080113	13454
20	95839ad0-b588-0b1d-8475-45fba6ae993c	1	1
20	legs	49169:fdab37dd,95839ad0	-
# rg src_port before=49169 after=49169 constant
