# row	tp	sent_delta	recv_delta
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1108	1774572
1	b414796d-14fc-080e-9ce6-a7162e3e562b	596	4524845
1	f1012467-de9d-09a9-8b49-62a43945c24b	8088	5599825
1	legs	49165:b414796d 49166:50cdb857 49167:f1012467	-
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	756	1770728
2	b414796d-14fc-080e-9ce6-a7162e3e562b	642	4524887
2	f1012467-de9d-09a9-8b49-62a43945c24b	3491	4642758
2	legs	49165:b414796d 49166:50cdb857 49167:f1012467	-
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	704	1614693
3	b414796d-14fc-080e-9ce6-a7162e3e562b	707	4201592
3	f1012467-de9d-09a9-8b49-62a43945c24b	13930	5379160
3	legs	49165:b414796d 49166:50cdb857 49167:f1012467	-
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	971	1771751
4	b414796d-14fc-080e-9ce6-a7162e3e562b	741	4526845
4	f1012467-de9d-09a9-8b49-62a43945c24b	692	4642104
4	legs	49165:b414796d 49166:50cdb857 49167:f1012467	-
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	914	1614666
5	b414796d-14fc-080e-9ce6-a7162e3e562b	617	4201611
5	f1012467-de9d-09a9-8b49-62a43945c24b	3206	4206851
5	legs	49165:b414796d 49166:50cdb857 49167:f1012467	-
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	13	45
6	b414796d-14fc-080e-9ce6-a7162e3e562b	10016941	774
6	f1012467-de9d-09a9-8b49-62a43945c24b	32	32
6	legs	49165:b414796d 49166:50cdb857 49167:f1012467	-
7	50cdb857-a262-0ae5-bf5b-5c93c8025b69	71	156887
7	b414796d-14fc-080e-9ce6-a7162e3e562b	10016492	329331
7	f1012467-de9d-09a9-8b49-62a43945c24b	172	441633
7	legs	49165:b414796d 49166:50cdb857 49167:f1012467	-
8	50cdb857-a262-0ae5-bf5b-5c93c8025b69	0	0
8	b414796d-14fc-080e-9ce6-a7162e3e562b	10016396	811
8	f1012467-de9d-09a9-8b49-62a43945c24b	5922	6813
8	legs	49165:b414796d 49166:50cdb857 49167:f1012467	-
9	50cdb857-a262-0ae5-bf5b-5c93c8025b69	64	64
9	b414796d-14fc-080e-9ce6-a7162e3e562b	10016404	831
9	f1012467-de9d-09a9-8b49-62a43945c24b	1407	771709
9	legs	49165:b414796d 49166:50cdb857 49167:f1012467	-
10	50cdb857-a262-0ae5-bf5b-5c93c8025b69	8	8
10	b414796d-14fc-080e-9ce6-a7162e3e562b	10016382	802
10	f1012467-de9d-09a9-8b49-62a43945c24b	40	40
10	legs	49165:b414796d 49166:50cdb857 49167:f1012467	-
11	50cdb857-a262-0ae5-bf5b-5c93c8025b69	2300	16632174
11	b414796d-14fc-080e-9ce6-a7162e3e562b	3028	21345165
11	f1012467-de9d-09a9-8b49-62a43945c24b	4317	13049849
11	legs	49165:b414796d 49166:50cdb857 49167:f1012467	-
12	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1948	16965094
12	b414796d-14fc-080e-9ce6-a7162e3e562b	2459	21016470
12	f1012467-de9d-09a9-8b49-62a43945c24b	14101	13985951
12	legs	49165:b414796d 49166:50cdb857 49167:f1012467	-
13	50cdb857-a262-0ae5-bf5b-5c93c8025b69	2278	16974578
13	b414796d-14fc-080e-9ce6-a7162e3e562b	2437	21018604
13	f1012467-de9d-09a9-8b49-62a43945c24b	6672	13050844
13	legs	49165:b414796d 49166:50cdb857 49167:f1012467	-
14	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1470	12764778
14	b414796d-14fc-080e-9ce6-a7162e3e562b	3069	25223792
14	f1012467-de9d-09a9-8b49-62a43945c24b	13747	13660186
14	legs	49165:b414796d 49166:50cdb857 49167:f1012467	-
15	50cdb857-a262-0ae5-bf5b-5c93c8025b69	2096	16967336
15	b414796d-14fc-080e-9ce6-a7162e3e562b	2462	21025455
15	f1012467-de9d-09a9-8b49-62a43945c24b	4299	13209200
15	legs	49165:b414796d 49166:50cdb857 49167:f1012467	-
16	50cdb857-a262-0ae5-bf5b-5c93c8025b69	108	159317
16	b414796d-14fc-080e-9ce6-a7162e3e562b	50079994	352177
16	f1012467-de9d-09a9-8b49-62a43945c24b	219	440688
16	legs	49165:b414796d 49166:50cdb857 49167:f1012467	-
17	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	37
17	b414796d-14fc-080e-9ce6-a7162e3e562b	50079921	1142
17	f1012467-de9d-09a9-8b49-62a43945c24b	5054	920034
17	legs	49165:b414796d 49166:50cdb857 49167:f1012467	-
18	50cdb857-a262-0ae5-bf5b-5c93c8025b69	8	8
18	b414796d-14fc-080e-9ce6-a7162e3e562b	50079931	1085
18	f1012467-de9d-09a9-8b49-62a43945c24b	3318	3323
18	legs	49165:b414796d 49166:50cdb857 49167:f1012467	-
19	50cdb857-a262-0ae5-bf5b-5c93c8025b69	69	155381
19	b414796d-14fc-080e-9ce6-a7162e3e562b	50082436	1031
19	f1012467-de9d-09a9-8b49-62a43945c24b	2467	2654
19	legs	49165:b414796d 49166:50cdb857 49167:f1012467	-
20	50cdb857-a262-0ae5-bf5b-5c93c8025b69	77	77
20	b414796d-14fc-080e-9ce6-a7162e3e562b	50079856	969
20	f1012467-de9d-09a9-8b49-62a43945c24b	2525	2064
20	legs	49165:b414796d 49166:50cdb857 49167:f1012467	-
