# row	tp	sent_delta	recv_delta
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	905	8203432
1	95839ad0-b588-0b1d-8475-45fba6ae993c	0	1977114
1	legs	49170:fdab37dd,95839ad0	-
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1560	8421756
2	95839ad0-b588-0b1d-8475-45fba6ae993c	8	2710349
2	legs	49170:fdab37dd,95839ad0	-
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	2270	10803769
3	95839ad0-b588-0b1d-8475-45fba6ae993c	1	2756913
3	legs	49170:fdab37dd,95839ad0	-
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	982	7554734
4	95839ad0-b588-0b1d-8475-45fba6ae993c	0	2756880
4	legs	49170:fdab37dd,95839ad0	-
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1643	8643636
5	95839ad0-b588-0b1d-8475-45fba6ae993c	88	3223676
5	legs	49170:fdab37dd,95839ad0	-
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	4327503	1791
6	95839ad0-b588-0b1d-8475-45fba6ae993c	8471261	123
6	legs	49170:fdab37dd,95839ad0	-
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	9982	1337
7	95839ad0-b588-0b1d-8475-45fba6ae993c	10072037	0
7	legs	49170:fdab37dd,95839ad0	-
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10006539	1615
8	95839ad0-b588-0b1d-8475-45fba6ae993c	10889289	1
8	legs	49170:fdab37dd,95839ad0	-
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	6678361	162947
9	95839ad0-b588-0b1d-8475-45fba6ae993c	3535427	500389
9	legs	49170:fdab37dd,95839ad0	-
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10238	1213
10	95839ad0-b588-0b1d-8475-45fba6ae993c	10104953	0
10	legs	49170:fdab37dd,95839ad0	-
11	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	4848	38231950
11	95839ad0-b588-0b1d-8475-45fba6ae993c	241	14046713
11	legs	49170:fdab37dd,95839ad0	-
12	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	9954	40890122
12	95839ad0-b588-0b1d-8475-45fba6ae993c	9	21029893
12	legs	49170:fdab37dd,95839ad0	-
13	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	5214	34300958
13	95839ad0-b588-0b1d-8475-45fba6ae993c	1	16738201
13	legs	49170:fdab37dd,95839ad0	-
14	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	4217	34063416
14	95839ad0-b588-0b1d-8475-45fba6ae993c	1	16705443
14	legs	49170:fdab37dd,95839ad0	-
15	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	4493	34119967
15	95839ad0-b588-0b1d-8475-45fba6ae993c	1	16681988
15	legs	49170:fdab37dd,95839ad0	-
16	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50193894	163789
16	95839ad0-b588-0b1d-8475-45fba6ae993c	17496	501635
16	legs	49170:fdab37dd,95839ad0	-
17	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50030879	3015
17	95839ad0-b588-0b1d-8475-45fba6ae993c	48993	1
17	legs	49170:fdab37dd,95839ad0	-
18	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50776	3622
18	95839ad0-b588-0b1d-8475-45fba6ae993c	50031637	9
18	legs	49170:fdab37dd,95839ad0	-
19	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	49050	3719
19	95839ad0-b588-0b1d-8475-45fba6ae993c	57112871	9
19	legs	49170:fdab37dd,95839ad0	-
20	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50030925	3271
20	95839ad0-b588-0b1d-8475-45fba6ae993c	245689	1
20	legs	49170:fdab37dd,95839ad0	-
# rg src_port before=49170 after=49170 constant
