# row	tp	sent_delta	recv_delta
1	b414796d-14fc-080e-9ce6-a7162e3e562b	559	10049180
1	legs	49169:b414796d 49170:b414796d 49171:b414796d	-
2	b414796d-14fc-080e-9ce6-a7162e3e562b	655	10016612
2	legs	49169:b414796d 49170:b414796d 49171:b414796d	-
3	b414796d-14fc-080e-9ce6-a7162e3e562b	554	10039988
3	legs	49169:b414796d 49170:b414796d 49171:b414796d	-
4	b414796d-14fc-080e-9ce6-a7162e3e562b	569	10016449
4	legs	49169:b414796d 49170:b414796d 49171:b414796d	-
5	b414796d-14fc-080e-9ce6-a7162e3e562b	559	10016449
5	legs	49169:b414796d 49170:b414796d 49171:b414796d	-
6	b414796d-14fc-080e-9ce6-a7162e3e562b	10049652	761
6	legs	49169:b414796d 49170:b414796d 49171:b414796d	-
7	b414796d-14fc-080e-9ce6-a7162e3e562b	10016534	779
7	legs	49169:b414796d 49170:b414796d 49171:b414796d	-
8	b414796d-14fc-080e-9ce6-a7162e3e562b	10016364	659
8	legs	49169:b414796d 49170:b414796d 49171:b414796d	-
9	b414796d-14fc-080e-9ce6-a7162e3e562b	10016983	654
9	legs	49169:b414796d 49170:b414796d 49171:b414796d	-
10	b414796d-14fc-080e-9ce6-a7162e3e562b	10016359	614
10	legs	49169:b414796d 49170:b414796d 49171:b414796d	-
11	b414796d-14fc-080e-9ce6-a7162e3e562b	909	50080047
11	legs	49169:b414796d 49170:b414796d 49171:b414796d	-
12	b414796d-14fc-080e-9ce6-a7162e3e562b	1604	50115291
12	legs	49169:b414796d 49170:b414796d 49171:b414796d	-
13	b414796d-14fc-080e-9ce6-a7162e3e562b	2225	50134556
13	legs	49169:b414796d 49170:b414796d 49171:b414796d	-
14	b414796d-14fc-080e-9ce6-a7162e3e562b	2570	50811438
14	legs	49169:b414796d 49170:b414796d 49171:b414796d	-
15	b414796d-14fc-080e-9ce6-a7162e3e562b	1275	50112920
15	legs	49169:b414796d 49170:b414796d 49171:b414796d	-
16	b414796d-14fc-080e-9ce6-a7162e3e562b	50115160	987
16	legs	49169:b414796d 49170:b414796d 49171:b414796d	-
17	b414796d-14fc-080e-9ce6-a7162e3e562b	50079827	920
17	legs	49169:b414796d 49170:b414796d 49171:b414796d	-
18	b414796d-14fc-080e-9ce6-a7162e3e562b	50082409	994
18	legs	49169:b414796d 49170:b414796d 49171:b414796d	-
19	b414796d-14fc-080e-9ce6-a7162e3e562b	50082552	1092
19	legs	49169:b414796d 49170:b414796d 49171:b414796d	-
20	b414796d-14fc-080e-9ce6-a7162e3e562b	50079824	932
20	legs	49169:b414796d 49170:b414796d 49171:b414796d	-
