# row	tp	sent_delta	recv_delta
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	787	10049131
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	739	10039978
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	739	10016382
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	644	10043707
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	739	10043638
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	10154944	719
7	50cdb857-a262-0ae5-bf5b-5c93c8025b69	10072210	669
8	50cdb857-a262-0ae5-bf5b-5c93c8025b69	10044740	637
9	50cdb857-a262-0ae5-bf5b-5c93c8025b69	10035352	632
10	50cdb857-a262-0ae5-bf5b-5c93c8025b69	10018915	696
11	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1287	50134008
12	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1240	50112732
13	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1502	50145741
14	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1854	50398661
15	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1460	50130287
16	50cdb857-a262-0ae5-bf5b-5c93c8025b69	50309315	1583
17	50cdb857-a262-0ae5-bf5b-5c93c8025b69	50274554	1325
18	50cdb857-a262-0ae5-bf5b-5c93c8025b69	50276145	1420
19	50cdb857-a262-0ae5-bf5b-5c93c8025b69	50243434	1324
20	50cdb857-a262-0ae5-bf5b-5c93c8025b69	50177750	1192
# exit-side 38288b5a-2d6f-0fe1-b814-9aae4f68de85 sent_delta=301125470 recv_delta=301618334 over the set
