# row	tp	sent_delta	recv_delta
1	95839ad0-b588-0b1d-8475-45fba6ae993c	1630	4767675
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1561	5254542
1	legs	49177:fdab37dd 49178:95839ad0	-
2	95839ad0-b588-0b1d-8475-45fba6ae993c	1472	4767652
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1790	5283225
2	legs	49177:fdab37dd 49178:95839ad0	-
3	95839ad0-b588-0b1d-8475-45fba6ae993c	483	1050943
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	2661	8971805
3	legs	49177:fdab37dd 49178:95839ad0	-
4	95839ad0-b588-0b1d-8475-45fba6ae993c	429	1050879
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	2587	8971590
4	legs	49177:fdab37dd 49178:95839ad0	-
5	95839ad0-b588-0b1d-8475-45fba6ae993c	675	2101694
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	2304	7921040
5	legs	49177:fdab37dd 49178:95839ad0	-
6	95839ad0-b588-0b1d-8475-45fba6ae993c	10016425	505945
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	71	164698
6	legs	49177:fdab37dd 49178:95839ad0	-
7	95839ad0-b588-0b1d-8475-45fba6ae993c	10017654	599
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	0	0
7	legs	49177:fdab37dd 49178:95839ad0	-
8	95839ad0-b588-0b1d-8475-45fba6ae993c	10016923	705
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	69	69
8	legs	49177:fdab37dd 49178:95839ad0	-
9	95839ad0-b588-0b1d-8475-45fba6ae993c	10016552	686
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	0	0
9	legs	49177:fdab37dd 49178:95839ad0	-
10	95839ad0-b588-0b1d-8475-45fba6ae993c	10016904	731
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	77	77
10	legs	49177:fdab37dd 49178:95839ad0	-
11	95839ad0-b588-0b1d-8475-45fba6ae993c	7387	26271752
11	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	6746	23839500
11	legs	49177:fdab37dd 49178:95839ad0	-
12	95839ad0-b588-0b1d-8475-45fba6ae993c	7446	26272123
12	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	6687	23838619
12	legs	49177:fdab37dd 49178:95839ad0	-
13	95839ad0-b588-0b1d-8475-45fba6ae993c	6878	24345449
13	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	7369	26436472
13	legs	49177:fdab37dd 49178:95839ad0	-
14	95839ad0-b588-0b1d-8475-45fba6ae993c	8574	30475116
14	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	5632	19645981
14	legs	49177:fdab37dd 49178:95839ad0	-
15	95839ad0-b588-0b1d-8475-45fba6ae993c	6718	23838078
15	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	7370	26272458
15	legs	49177:fdab37dd 49178:95839ad0	-
16	95839ad0-b588-0b1d-8475-45fba6ae993c	50080982	507909
16	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	177	163656
16	legs	49177:fdab37dd 49178:95839ad0	-
17	95839ad0-b588-0b1d-8475-45fba6ae993c	50079908	924
17	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	74	74
17	legs	49177:fdab37dd 49178:95839ad0	-
18	95839ad0-b588-0b1d-8475-45fba6ae993c	37	37
18	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50079921	1072
18	legs	49177:fdab37dd 49178:95839ad0	-
19	95839ad0-b588-0b1d-8475-45fba6ae993c	50080583	508655
19	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	140	164914
19	legs	49177:fdab37dd 49178:95839ad0	-
20	95839ad0-b588-0b1d-8475-45fba6ae993c	74	74
20	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50080497	1128
20	legs	49177:fdab37dd 49178:95839ad0	-
# rg dst_ports before=49177,49178 after=49177,49178 constant
