# tunsum exit=022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1 local=66e279fa6 exit_commit=66e279fa6 app=skysocks-client@127.0.0.1:1080 tunnels=2 pin1=03f57e7c pin2=0371ab4b range_port=18080 sink=http://127.0.0.1:18080 size=50000000 trials=3
# trial	mode	stream	bytes	seconds	goodput_bps	tunnel_split	http	hash_ok
# carrier	1	A	fdab37dd=100356683 95839ad0=504188
1	A	s1	50000000	19.870917	2516240	fdab37dd=100356683;95839ad0=504188	200	1
1	A	s2	50000000	19.558790	2556395	fdab37dd=100356683;95839ad0=504188	200	1
# carrier	2	A	fdab37dd=143 95839ad0=100159898
2	A	s1	50000000	11.323397	4415637	fdab37dd=143;95839ad0=100159898	200	1
2	A	s2	50000000	11.146145	4485857	fdab37dd=143;95839ad0=100159898	200	1
# carrier	3	A	fdab37dd=164070 95839ad0=100664306
3	A	s1	50000000	10.945252	4568192	fdab37dd=164070;95839ad0=100664306	200	1
3	A	s2	50000000	11.030186	4533016	fdab37dd=164070;95839ad0=100664306	200	1
# carrier	1	B	fdab37dd=50112847 95839ad0=138
1	B	s1	50000000	9.274939	5390874	fdab37dd=50112847;95839ad0=138	200	1
# carrier	2	B	fdab37dd=37 95839ad0=50079963
2	B	s1	50000000	6.197864	8067303	fdab37dd=37;95839ad0=50079963	200	1
# carrier	3	B	fdab37dd=50243985 95839ad0=505521
3	B	s1	50000000	13.683818	3653951	fdab37dd=50243985;95839ad0=505521	200	1
# carrier	1	C	fdab37dd=21041919 95839ad0=29079452
1	C	s1	50000000	6.551105	7632365	fdab37dd=21041919;95839ad0=29079452	200	1
# carrier	2	C	fdab37dd=16642318 95839ad0=34118543
2	C	s1	50000000	5.842140	8558573	fdab37dd=16642318;95839ad0=34118543	200	1
# carrier	3	C	fdab37dd=16839536 95839ad0=33281056
3	C	s1	50000000	5.857237	8536994	fdab37dd=16839536;95839ad0=33281056	200	1
# carrier	1	D	fdab37dd=33281675 95839ad0=66907589
1	D	s1	50000000	10.065926	4967291	fdab37dd=33281675;95839ad0=66907589	200	1
1	D	s2	50000000	10.572331	4730208	fdab37dd=33281675;95839ad0=66907589	200	1
# carrier	2	D	fdab37dd=41883094 95839ad0=59002917
2	D	s1	50000000	9.536461	5243069	fdab37dd=41883094;95839ad0=59002917	200	1
2	D	s2	50000000	10.686045	4679020	fdab37dd=41883094;95839ad0=59002917	200	1
# carrier	3	D	fdab37dd=41685945 95839ad0=58493077
3	D	s1	50000000	8.898876	5618733	fdab37dd=41685945;95839ad0=58493077	200	1
3	D	s2	50000000	10.262228	4873325	fdab37dd=41685945;95839ad0=58493077	200	1
