# row	tp	sent_delta	recv_delta
1	95839ad0-b588-0b1d-8475-45fba6ae993c	678	10016446
1	legs	95839ad0	-
2	95839ad0-b588-0b1d-8475-45fba6ae993c	416	10016417
2	legs	95839ad0	-
3	95839ad0-b588-0b1d-8475-45fba6ae993c	532	10016409
3	legs	95839ad0	-
4	95839ad0-b588-0b1d-8475-45fba6ae993c	413	10016461
4	legs	95839ad0	-
5	95839ad0-b588-0b1d-8475-45fba6ae993c	489	10505864
5	legs	95839ad0	-
6	95839ad0-b588-0b1d-8475-45fba6ae993c	10017630	689
6	legs	95839ad0	-
7	95839ad0-b588-0b1d-8475-45fba6ae993c	10016386	641
7	legs	95839ad0	-
8	95839ad0-b588-0b1d-8475-45fba6ae993c	10016770	609
8	legs	95839ad0	-
9	95839ad0-b588-0b1d-8475-45fba6ae993c	10016510	609
9	legs	95839ad0	-
10	95839ad0-b588-0b1d-8475-45fba6ae993c	10016376	723
10	legs	95839ad0	-
11	95839ad0-b588-0b1d-8475-45fba6ae993c	1650	50581319
11	legs	95839ad0	-
12	95839ad0-b588-0b1d-8475-45fba6ae993c	1154	50089349
12	legs	95839ad0	-
13	95839ad0-b588-0b1d-8475-45fba6ae993c	1045	50571531
13	legs	95839ad0	-
14	95839ad0-b588-0b1d-8475-45fba6ae993c	853	50080010
14	legs	95839ad0	-
15	95839ad0-b588-0b1d-8475-45fba6ae993c	972	50089267
15	legs	95839ad0	-
16	95839ad0-b588-0b1d-8475-45fba6ae993c	50082342	929
16	legs	95839ad0	-
17	95839ad0-b588-0b1d-8475-45fba6ae993c	50079915	488778
17	legs	95839ad0	-
18	95839ad0-b588-0b1d-8475-45fba6ae993c	50079851	939
18	legs	95839ad0	-
19	95839ad0-b588-0b1d-8475-45fba6ae993c	50079923	981
19	legs	95839ad0	-
20	95839ad0-b588-0b1d-8475-45fba6ae993c	50082415	979
20	legs	95839ad0	-
# exit-side dc5330cf-5d85-0b70-88e9-e4ab169d17fd sent_delta=300520523 recv_delta=300496356 over the set
