# row	tp	sent_delta	recv_delta
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1270	9130217
1	95839ad0-b588-0b1d-8475-45fba6ae993c	115	2002085
1	legs	49176:fdab37dd,95839ad0	-
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1564	8440894
2	95839ad0-b588-0b1d-8475-45fba6ae993c	1	2002085
2	legs	49176:fdab37dd,95839ad0	-
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1384	6966052
3	95839ad0-b588-0b1d-8475-45fba6ae993c	24	3214549
3	legs	49176:fdab37dd,95839ad0	-
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1237	6176351
4	95839ad0-b588-0b1d-8475-45fba6ae993c	0	4955874
4	legs	49176:fdab37dd,95839ad0	-
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1361	5382532
5	95839ad0-b588-0b1d-8475-45fba6ae993c	0	8047041
5	legs	49176:fdab37dd,95839ad0	-
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10016391	570
6	95839ad0-b588-0b1d-8475-45fba6ae993c	1	97
6	legs	49176:fdab37dd,95839ad0	-
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	4175282	1298
7	95839ad0-b588-0b1d-8475-45fba6ae993c	5874881	1
7	legs	49176:fdab37dd,95839ad0	-
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	108272	1214
8	95839ad0-b588-0b1d-8475-45fba6ae993c	10006461	4139
8	legs	49176:fdab37dd,95839ad0	-
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10104788	1092
9	95839ad0-b588-0b1d-8475-45fba6ae993c	9888	90
9	legs	49176:fdab37dd,95839ad0	-
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	6261765	1108
10	95839ad0-b588-0b1d-8475-45fba6ae993c	10006389	0
10	legs	49176:fdab37dd,95839ad0	-
11	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	11104	45879898
11	95839ad0-b588-0b1d-8475-45fba6ae993c	277	9005502
11	legs	49176:fdab37dd,95839ad0	-
12	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	21980	25731258
12	95839ad0-b588-0b1d-8475-45fba6ae993c	99	38625164
12	legs	49176:fdab37dd,95839ad0	-
13	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10159	12297880
13	95839ad0-b588-0b1d-8475-45fba6ae993c	97	42653198
13	legs	49176:fdab37dd,95839ad0	-
14	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	860	50080087
14	95839ad0-b588-0b1d-8475-45fba6ae993c	1	0
14	legs	49176:fdab37dd,95839ad0	-
15	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	840	50079995
15	95839ad0-b588-0b1d-8475-45fba6ae993c	2	0
15	legs	49176:fdab37dd,95839ad0	-
16	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50115057	158336
16	95839ad0-b588-0b1d-8475-45fba6ae993c	73	484421
16	legs	49176:fdab37dd,95839ad0	-
17	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50079883	991
17	95839ad0-b588-0b1d-8475-45fba6ae993c	1	0
17	legs	49176:fdab37dd,95839ad0	-
18	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50115323	159276
18	95839ad0-b588-0b1d-8475-45fba6ae993c	96	484414
18	legs	49176:fdab37dd,95839ad0	-
19	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50082347	959
19	95839ad0-b588-0b1d-8475-45fba6ae993c	1	0
19	legs	49176:fdab37dd,95839ad0	-
20	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50079851	994
20	95839ad0-b588-0b1d-8475-45fba6ae993c	1	0
20	legs	49176:fdab37dd,95839ad0	-
# rg src_port before=49176 after=49176 constant
