# row	tp	sent_delta	recv_delta
1	95839ad0-b588-0b1d-8475-45fba6ae993c	646	10016350
1	legs	95839ad0	-
2	95839ad0-b588-0b1d-8475-45fba6ae993c	408	10016436
2	legs	95839ad0	-
3	95839ad0-b588-0b1d-8475-45fba6ae993c	477	10016441
3	legs	95839ad0	-
4	95839ad0-b588-0b1d-8475-45fba6ae993c	445	10016446
4	legs	95839ad0	-
5	95839ad0-b588-0b1d-8475-45fba6ae993c	398	10016513
5	legs	95839ad0	-
6	95839ad0-b588-0b1d-8475-45fba6ae993c	10016403	960
6	legs	95839ad0	-
7	95839ad0-b588-0b1d-8475-45fba6ae993c	10016342	667
7	legs	95839ad0	-
8	95839ad0-b588-0b1d-8475-45fba6ae993c	10016354	639
8	legs	95839ad0	-
9	95839ad0-b588-0b1d-8475-45fba6ae993c	10016339	656
9	legs	95839ad0	-
10	95839ad0-b588-0b1d-8475-45fba6ae993c	10016354	619
10	legs	95839ad0	-
11	95839ad0-b588-0b1d-8475-45fba6ae993c	1021	50080126
11	legs	95839ad0	-
12	95839ad0-b588-0b1d-8475-45fba6ae993c	1238	50571567
12	legs	95839ad0	-
13	95839ad0-b588-0b1d-8475-45fba6ae993c	972	50080074
13	legs	95839ad0	-
14	95839ad0-b588-0b1d-8475-45fba6ae993c	850	50080089
14	legs	95839ad0	-
15	95839ad0-b588-0b1d-8475-45fba6ae993c	979	50563190
15	legs	95839ad0	-
16	95839ad0-b588-0b1d-8475-45fba6ae993c	50082416	1333
16	legs	95839ad0	-
17	95839ad0-b588-0b1d-8475-45fba6ae993c	50082347	956
17	legs	95839ad0	-
18	95839ad0-b588-0b1d-8475-45fba6ae993c	50079920	1008
18	legs	95839ad0	-
19	95839ad0-b588-0b1d-8475-45fba6ae993c	50082419	484738
19	legs	95839ad0	-
20	95839ad0-b588-0b1d-8475-45fba6ae993c	50079883	941
20	legs	95839ad0	-
# exit-side dc5330cf-5d85-0b70-88e9-e4ab169d17fd sent_delta=300501128 recv_delta=300496329 over the set
