# row	tp	sent_delta	recv_delta
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	525	10047350
1	legs	fdab37dd	-
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	455	10175837
2	legs	fdab37dd	-
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	442	10016468
3	legs	fdab37dd	-
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	373	10016404
4	legs	fdab37dd	-
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	415	10016446
5	legs	fdab37dd	-
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10016770	629
6	legs	fdab37dd	-
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10016770	619
7	legs	fdab37dd	-
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10016775	619
8	legs	fdab37dd	-
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10016344	701
9	legs	fdab37dd	-
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10016445	160163
10	legs	fdab37dd	-
11	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	822	50080022
11	legs	fdab37dd	-
12	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	907	50080114
12	legs	fdab37dd	-
13	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	858	50079998
13	legs	fdab37dd	-
14	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1004	50260393
14	legs	fdab37dd	-
15	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1014	50080054
15	legs	fdab37dd	-
16	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50082342	939
16	legs	fdab37dd	-
17	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50079987	158729
17	legs	fdab37dd	-
18	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50082355	917
18	legs	fdab37dd	-
19	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50079910	993
19	legs	fdab37dd	-
20	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50079856	984
20	legs	fdab37dd	-
# exit-side 7420f415-abd5-014f-bc55-e6132477485f sent_delta=300542878 recv_delta=300494300 over the set
