# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789724163	warmup	360020	11.09	0.26	0.088	430.1	239.6	20	2112
1789724169	mux-tunnels-2-pre	360020	11.36	0.52	0.046	430.1	270.2	20	2165
1789724449	mux-tunnels-2-post	441380	41.50	0.44	0.084	430.3	272.5	94	4517
1789724485	mux-tunnels-2-settled	424332	44.22	0.31	0.054	430.9	196.3	96	4674
1789724509	mux-legs-2-pre	430036	45.93	0.28	0.056	431.7	301.4	97	4582
1789724720	mux-legs-2-post	429608	72.67	0.37	0.070	464.3	251.5	164	4664
1789724757	mux-legs-2-settled	402032	75.22	0.20	0.100	464.3	243.6	166	4693
1789724863	mux-compose-T2xL2-pre	427288	82.43	0.03	0.054	464.7	332.4	171	4873
1789725443	mux-compose-T2xL2-post	518536	144.92	0.26	0.062	504.7	354.2	302	5102
1789725479	mux-compose-T2xL2-settled	405344	147.65	0.67	0.160	504.7	218.9	305	5138
