# paired reference: 0371ab4b (0323272a60895f56aad82cb767fb5c413807adcf7c9fb0578b1b1c5807c7f29d4c>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13@95839ad0-b588-0b1d-8475-45fba6ae993c,0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1@dc5330cf-5d85-0b70-88e9-e4ab169d17fd) via skysocks-client-ref@127.0.0.1:1081 — one reference row of the same cell immediately before every mux row
# row	cell	ref_MBps	mux_MBps	ratio	ref_ok	mux_ok	ref_legs
1	10down	5.72	4.00	0.699	1	1	1
2	10down	5.71	4.05	0.709	1	1	1
3	10down	4.92	3.92	0.797	1	1	1
4	10down	5.40	3.03	0.561	1	1	1
5	10down	5.02	3.75	0.747	1	1	1
6	10up	6.93	4.58	0.661	1	1	1
7	10up	6.64	0.27	0.041	1	1	1
8	10up	7.12	0.17	0.024	1	1	1
9	50down	8.55	7.28	0.851	1	1	1
10	50down	4.95	6.49	1.311	1	1	1
11	50down	7.42	7.58	1.022	1	1	1
12	50down	7.52	6.99	0.930	1	1	1
13	50down	8.64	5.43	0.628	1	1	1
14	50up	10.33	1.02	0.099	1	1	1
15	50up	9.90	2.86	0.289	1	1	1
16	50up	9.95	2.43	0.244	1	1	1
17	100down	8.34	7.33	0.879	1	1	1
18	100down	8.23	8.68	1.055	1	1	1
19	100down	8.30	9.63	1.160	1	1	1
20	100down	7.76	8.57	1.104	1	1	1
21	100down	8.78	8.49	0.967	1	1	1
