# row	tp	sent_delta	recv_delta
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	680	10016389
1	legs	50cdb857	-
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	457	10016409
2	legs	50cdb857	-
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	480	10016469
3	legs	50cdb857	-
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	551	10176585
4	legs	50cdb857	-
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	435	10016424
5	legs	50cdb857	-
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	10542107	492091
6	legs	50cdb857	-
7	50cdb857-a262-0ae5-bf5b-5c93c8025b69	10474710	484690
7	legs	50cdb857	-
8	50cdb857-a262-0ae5-bf5b-5c93c8025b69	10651888	482893
8	legs	50cdb857	-
9	50cdb857-a262-0ae5-bf5b-5c93c8025b69	10717644	484476
9	legs	50cdb857	-
10	50cdb857-a262-0ae5-bf5b-5c93c8025b69	11066740	642613
10	legs	50cdb857	-
11	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1038	50080096
11	legs	50cdb857	-
12	50cdb857-a262-0ae5-bf5b-5c93c8025b69	874	50080037
12	legs	50cdb857	-
13	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1045	50239480
13	legs	50cdb857	-
14	50cdb857-a262-0ae5-bf5b-5c93c8025b69	922	50080037
14	legs	50cdb857	-
15	50cdb857-a262-0ae5-bf5b-5c93c8025b69	934	50080027
15	legs	50cdb857	-
16	50cdb857-a262-0ae5-bf5b-5c93c8025b69	55721716	2933204
16	legs	50cdb857	-
17	50cdb857-a262-0ae5-bf5b-5c93c8025b69	54858508	3247284
17	legs	50cdb857	-
18	50cdb857-a262-0ae5-bf5b-5c93c8025b69	56015624	3202141
18	legs	50cdb857	-
19	50cdb857-a262-0ae5-bf5b-5c93c8025b69	56103807	3315224
19	legs	50cdb857	-
20	50cdb857-a262-0ae5-bf5b-5c93c8025b69	56966598	3221028
20	legs	50cdb857	-
# exit-side 38288b5a-2d6f-0fe1-b814-9aae4f68de85 sent_delta=300594274 recv_delta=332558281 over the set
