# row	tp	sent_delta	recv_delta
1	f1012467-de9d-09a9-8b49-62a43945c24b	740	10040059
1	legs	f1012467	-
2	f1012467-de9d-09a9-8b49-62a43945c24b	594	10458655
2	legs	f1012467	-
3	f1012467-de9d-09a9-8b49-62a43945c24b	435	10016466
3	legs	f1012467	-
4	f1012467-de9d-09a9-8b49-62a43945c24b	445	10016414
4	legs	f1012467	-
5	f1012467-de9d-09a9-8b49-62a43945c24b	463	10016407
5	legs	f1012467	-
6	f1012467-de9d-09a9-8b49-62a43945c24b	10016455	730
6	legs	f1012467	-
7	f1012467-de9d-09a9-8b49-62a43945c24b	10016859	651
7	legs	f1012467	-
8	f1012467-de9d-09a9-8b49-62a43945c24b	10016359	619
8	legs	f1012467	-
9	f1012467-de9d-09a9-8b49-62a43945c24b	10016391	641
9	legs	f1012467	-
10	f1012467-de9d-09a9-8b49-62a43945c24b	10016827	609
10	legs	f1012467	-
11	f1012467-de9d-09a9-8b49-62a43945c24b	881	50450444
11	legs	f1012467	-
12	f1012467-de9d-09a9-8b49-62a43945c24b	1011	50093996
12	legs	f1012467	-
13	f1012467-de9d-09a9-8b49-62a43945c24b	950	50080159
13	legs	f1012467	-
14	f1012467-de9d-09a9-8b49-62a43945c24b	986	50519958
14	legs	f1012467	-
15	f1012467-de9d-09a9-8b49-62a43945c24b	994	50080067
15	legs	f1012467	-
16	f1012467-de9d-09a9-8b49-62a43945c24b	50082404	959
16	legs	f1012467	-
17	f1012467-de9d-09a9-8b49-62a43945c24b	50080039	440427
17	legs	f1012467	-
18	f1012467-de9d-09a9-8b49-62a43945c24b	50082404	944
18	legs	f1012467	-
19	f1012467-de9d-09a9-8b49-62a43945c24b	50082404	944
19	legs	f1012467	-
20	f1012467-de9d-09a9-8b49-62a43945c24b	50079908	934
20	legs	f1012467	-
# exit-side 57c570d9-d718-01f6-a458-7cd9b5f8f1dc sent_delta=300528461 recv_delta=300497498 over the set
