# paired reference: 0371ab4b (0323272a60895f56aad82cb767fb5c413807adcf7c9fb0578b1b1c5807c7f29d4c>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13@95839ad0-b588-0b1d-8475-45fba6ae993c,0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1@dc5330cf-5d85-0b70-88e9-e4ab169d17fd) via skysocks-client-ref@127.0.0.1:1081 — one reference row of the same cell immediately before every mux row
# row	cell	ref_MBps	mux_MBps	ratio	ref_ok	mux_ok	ref_legs
1	10down	5.88	4.57	0.777	1	1	1
2	10down	5.92	4.76	0.804	1	1	1
3	10down	5.97	4.76	0.797	1	1	1
4	10up	5.01	0.00	-	1	0	1
5	10up	0.00	0.00	-	0	0	1
6	10up	1.89	5.67	3.000	1	1	1
7	50down	8.35	6.01	0.720	1	1	1
8	50down	7.98	7.98	1.000	1	1	1
9	50down	8.73	8.84	1.013	1	1	1
10	50up	8.94	10.65	1.191	1	1	1
11	50up	10.35	9.89	0.956	1	1	1
12	50up	10.22	10.27	1.005	1	1	1
