# row	tp	sent_delta	recv_delta
1	f1012467-de9d-09a9-8b49-62a43945c24b	779	10016461
1	legs	f1012467	-
2	f1012467-de9d-09a9-8b49-62a43945c24b	663	10035323
2	legs	f1012467	-
3	f1012467-de9d-09a9-8b49-62a43945c24b	678	10035323
3	legs	f1012467	-
4	f1012467-de9d-09a9-8b49-62a43945c24b	4865	10073660
4	legs	f1012467	-
5	f1012467-de9d-09a9-8b49-62a43945c24b	7235	10066944
5	legs	f1012467	-
6	f1012467-de9d-09a9-8b49-62a43945c24b	10058008	356153
6	legs	f1012467	-
7	f1012467-de9d-09a9-8b49-62a43945c24b	10058654	797
7	legs	f1012467	-
8	f1012467-de9d-09a9-8b49-62a43945c24b	10046548	669
8	legs	f1012467	-
9	f1012467-de9d-09a9-8b49-62a43945c24b	10076424	711
9	legs	f1012467	-
10	f1012467-de9d-09a9-8b49-62a43945c24b	10049620	679
10	legs	f1012467	-
11	f1012467-de9d-09a9-8b49-62a43945c24b	9390	50662518
11	legs	f1012467	-
12	f1012467-de9d-09a9-8b49-62a43945c24b	7217	50654449
12	legs	f1012467	-
13	f1012467-de9d-09a9-8b49-62a43945c24b	13589	50322179
13	legs	f1012467	-
14	f1012467-de9d-09a9-8b49-62a43945c24b	16049	50736116
14	legs	f1012467	-
15	f1012467-de9d-09a9-8b49-62a43945c24b	29535	50808838
15	legs	f1012467	-
16	f1012467-de9d-09a9-8b49-62a43945c24b	50174418	382598
16	legs	f1012467	-
17	f1012467-de9d-09a9-8b49-62a43945c24b	50214228	359484
17	legs	f1012467	-
18	f1012467-de9d-09a9-8b49-62a43945c24b	50190001	1145
18	legs	f1012467	-
19	f1012467-de9d-09a9-8b49-62a43945c24b	50155789	1115
19	legs	f1012467	-
20	f1012467-de9d-09a9-8b49-62a43945c24b	50198162	406563
20	legs	f1012467	-
# exit-side 57c570d9-d718-01f6-a458-7cd9b5f8f1dc sent_delta=301973501 recv_delta=301206726 over the set
