# row	tp	sent_delta	recv_delta
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	713	10163078
1	legs	2c4ae7a5	-
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	725	10073143
2	legs	2c4ae7a5	-
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	232	0
3	legs	2c4ae7a5	-
4	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	152	24
4	legs	2c4ae7a5	-
5	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	191	0
5	legs	2c4ae7a5	-
6	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	136	154198
6	legs	2c4ae7a5	-
7	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	329	235
7	legs	2c4ae7a5	-
8	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	178	0
8	legs	2c4ae7a5	-
9	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	485	230
9	legs	2c4ae7a5	-
10	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	181	4383
10	legs	2c4ae7a5	-
11	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	2010	50389349
11	legs	2c4ae7a5	-
12	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	2209	50421820
12	legs	2c4ae7a5	-
13	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	2555	50631429
13	legs	2c4ae7a5	-
14	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	1913	50458614
14	legs	2c4ae7a5	-
15	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	2051	50603845
15	legs	2c4ae7a5	-
16	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	50079968	1045
16	legs	2c4ae7a5	-
17	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	50079819	915
17	legs	2c4ae7a5	-
18	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	50079893	986
18	legs	2c4ae7a5	-
19	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	50080295	950
19	legs	2c4ae7a5	-
20	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	50080121	969
20	legs	2c4ae7a5	-
# exit-side d0b47ec2-f051-0fc7-b194-f81e98f33f8e sent_delta=272697993 recv_delta=250422554 over the set
