# row	tp	sent_delta	recv_delta
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	69	69
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	244	1021583
1	95839ad0-b588-0b1d-8475-45fba6ae993c	957	6487157
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	37	37
1	f1012467-de9d-09a9-8b49-62a43945c24b	862	3069733
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1379	3084473
1	legs	49178:fdab37dd,95839ad0 49179:50cdb857,f1012467 49180:f1012467 49182:fdab37dd 49183:ac40965a 49184:2c4ae7a5 49185:797a3969 49187:b414796d	-
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	77	77
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	448	1727193
2	95839ad0-b588-0b1d-8475-45fba6ae993c	1046	4899620
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	77	77
2	f1012467-de9d-09a9-8b49-62a43945c24b	901	2264974
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1133	2879681
2	legs	49178:fdab37dd,95839ad0 49179:50cdb857,f1012467 49180:f1012467 49182:fdab37dd 49183:ac40965a 49184:2c4ae7a5 49185:797a3969 49187:b414796d	-
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	37	37
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	312	1067812
3	95839ad0-b588-0b1d-8475-45fba6ae993c	1182	6347753
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	37	37
3	f1012467-de9d-09a9-8b49-62a43945c24b	369	2031153
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1445	3182628
3	legs	49178:fdab37dd,95839ad0 49179:50cdb857,f1012467 49180:f1012467 49182:fdab37dd 49183:ac40965a 49184:2c4ae7a5 49185:797a3969 49187:b414796d	-
4	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	77	77
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	326	528968
4	95839ad0-b588-0b1d-8475-45fba6ae993c	1190	5757855
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	37	37
4	f1012467-de9d-09a9-8b49-62a43945c24b	370	1637876
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1494	2160613
4	legs	49178:fdab37dd,95839ad0 49179:50cdb857,f1012467 49180:f1012467 49182:fdab37dd 49183:ac40965a 49184:2c4ae7a5 49185:797a3969 49187:b414796d	-
5	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	69	69
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	326	791512
5	95839ad0-b588-0b1d-8475-45fba6ae993c	1363	4824360
5	ac40965a-bc99-01e4-a2c9-c26b76db013b	69	69
5	f1012467-de9d-09a9-8b49-62a43945c24b	457	1309827
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	713	1216767
5	legs	49178:fdab37dd,95839ad0 49179:50cdb857,f1012467 49180:f1012467 49182:fdab37dd 49183:ac40965a 49184:2c4ae7a5 49185:797a3969 49187:b414796d	-
6	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	37	37
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	43	446
6	95839ad0-b588-0b1d-8475-45fba6ae993c	7505345	1312
6	ac40965a-bc99-01e4-a2c9-c26b76db013b	37	37
6	f1012467-de9d-09a9-8b49-62a43945c24b	2502068	795
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	138	592
6	legs	49178:fdab37dd,95839ad0 49179:50cdb857,f1012467 49180:f1012467 49182:fdab37dd 49183:ac40965a 49184:2c4ae7a5 49185:797a3969 49187:b414796d	-
7	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	69	69
7	50cdb857-a262-0ae5-bf5b-5c93c8025b69	134	663
