# paired reference: 0371ab4b (0323272a60895f56aad82cb767fb5c413807adcf7c9fb0578b1b1c5807c7f29d4c>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13@95839ad0-b588-0b1d-8475-45fba6ae993c,0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1@dc5330cf-5d85-0b70-88e9-e4ab169d17fd) via skysocks-client-ref@127.0.0.1:1081 — one reference row of the same cell immediately before every mux row
# row	cell	ref_MBps	mux_MBps	ratio	ref_ok	mux_ok	ref_legs
1	10down	5.64	5.69	1.009	1	1	1
2	10down	6.48	5.63	0.869	1	1	1
3	10down	5.57	5.75	1.032	1	1	1
4	10down	5.87	2.29	0.390	1	1	1
5	10down	3.25	4.46	1.372	1	1	1
6	10up	7.16	5.94	0.830	1	1	1
7	10up	7.48	5.85	0.782	1	1	1
8	10up	7.16	5.55	0.775	1	1	1
9	50down	7.96	9.15	1.149	1	1	1
10	50down	8.47	9.18	1.084	1	1	1
11	50down	8.36	8.99	1.075	1	1	1
12	50down	8.45	9.81	1.161	1	1	1
13	50down	7.93	8.01	1.010	1	1	1
14	50up	10.32	9.82	0.952	1	1	1
15	50up	9.88	9.32	0.943	1	1	1
16	50up	10.29	9.42	0.915	1	1	1
