# row	tp	sent_delta	recv_delta
1	b414796d-14fc-080e-9ce6-a7162e3e562b	5307	3993739
1	95839ad0-b588-0b1d-8475-45fba6ae993c	1182	6060143
1	f1012467-de9d-09a9-8b49-62a43945c24b	69	37
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	37	53
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	69	69
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	37	37
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	37
1	797a3969-3f39-0a33-bf84-0827fdcdf7de	69	69
1	legs	49164:b414796d 49165:95839ad0 49166:f1012467 49167:fdab37dd 49168:ac40965a 49169:2c4ae7a5 49170:50cdb857 49171:797a3969	-
2	b414796d-14fc-080e-9ce6-a7162e3e562b	717	3958930
2	95839ad0-b588-0b1d-8475-45fba6ae993c	697	4080543
2	f1012467-de9d-09a9-8b49-62a43945c24b	579	1979434
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	37	37
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	37	37
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	37	37
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	69	69
2	797a3969-3f39-0a33-bf84-0827fdcdf7de	13	77
2	legs	49164:b414796d 49165:95839ad0 49166:f1012467 49167:fdab37dd 49168:ac40965a 49169:2c4ae7a5 49170:50cdb857 49171:797a3969	-
3	b414796d-14fc-080e-9ce6-a7162e3e562b	983	5971288
3	95839ad0-b588-0b1d-8475-45fba6ae993c	771	4080560
3	f1012467-de9d-09a9-8b49-62a43945c24b	101	101
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	69	69
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	69	69
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	37	69
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	42	106
3	797a3969-3f39-0a33-bf84-0827fdcdf7de	74	165
3	legs	49164:b414796d 49165:95839ad0 49166:f1012467 49167:fdab37dd 49168:ac40965a 49169:2c4ae7a5 49170:50cdb857 49171:797a3969	-
4	b414796d-14fc-080e-9ce6-a7162e3e562b	2917	4090619
4	95839ad0-b588-0b1d-8475-45fba6ae993c	1054	6060150
4	f1012467-de9d-09a9-8b49-62a43945c24b	69	69
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	69	69
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	69	69
4	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	101	101
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	69	69
4	797a3969-3f39-0a33-bf84-0827fdcdf7de	74	101
4	legs	49164:b414796d 49165:95839ad0 49166:f1012467 49167:fdab37dd 49168:ac40965a 49169:2c4ae7a5 49170:50cdb857 49171:797a3969	-
5	b414796d-14fc-080e-9ce6-a7162e3e562b	1013	5971222
5	95839ad0-b588-0b1d-8475-45fba6ae993c	956	4080667
5	f1012467-de9d-09a9-8b49-62a43945c24b	45	45
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	45	45
5	ac40965a-bc99-01e4-a2c9-c26b76db013b	45	45
5	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	45	45
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	45	45
5	797a3969-3f39-0a33-bf84-0827fdcdf7de	45	45
