# assert	value	want	verdict
pool_size	6	> 2	PASS
pool_settled	quiet 20s	quiet	INFO
hashes_after_cut	3/3	3/3	PASS
cut_target	tp f1012467-de9d-09a9-8b49-62a43945c24b rg 49192 remote 0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb (by tunnel_role=active)	an active tunnel's first hop	INFO
survivors_kept	7/7 (49191,49192,49194,49195,49198,49199,49200,49201 -> 49191,49194,49195,49198,49199,49200,49201,49202)	all but rg 49192	PASS
rg_ports_lost	49192	at most rg 49192	PASS
rg_ports_gained	49202	pool refill, not a rebuild	INFO
promote_event	tunnel_promoted x1	>=1 tunnel_promoted (or leg_promoted)	PASS
ttfb_after_cut_s	27.143	< 2	FAIL
local_reorder_wedge	0 events, wedges counter 0	0	PASS
exit_reorder_wedge	0	0	PASS
