# row	tp	sent_delta	recv_delta
1	b414796d-14fc-080e-9ce6-a7162e3e562b	18396	10041922
2	b414796d-14fc-080e-9ce6-a7162e3e562b	14080	10039303
3	b414796d-14fc-080e-9ce6-a7162e3e562b	3328	10031901
4	b414796d-14fc-080e-9ce6-a7162e3e562b	612	10029965
5	b414796d-14fc-080e-9ce6-a7162e3e562b	3170	10031624
6	b414796d-14fc-080e-9ce6-a7162e3e562b	10030833	786
7	b414796d-14fc-080e-9ce6-a7162e3e562b	10029969	786
8	b414796d-14fc-080e-9ce6-a7162e3e562b	10030023	840
9	b414796d-14fc-080e-9ce6-a7162e3e562b	10030215	840
10	b414796d-14fc-080e-9ce6-a7162e3e562b	10034900	3615
11	b414796d-14fc-080e-9ce6-a7162e3e562b	32916	50369582
12	b414796d-14fc-080e-9ce6-a7162e3e562b	7985	50152626
13	b414796d-14fc-080e-9ce6-a7162e3e562b	60404	50188354
14	b414796d-14fc-080e-9ce6-a7162e3e562b	62580	50409806
15	b414796d-14fc-080e-9ce6-a7162e3e562b	60452	50259615
16	b414796d-14fc-080e-9ce6-a7162e3e562b	50158264	145947
17	b414796d-14fc-080e-9ce6-a7162e3e562b	50147347	1164
18	b414796d-14fc-080e-9ce6-a7162e3e562b	50147861	319520
19	b414796d-14fc-080e-9ce6-a7162e3e562b	50165635	332571
20	b414796d-14fc-080e-9ce6-a7162e3e562b	50187720	257052
