# row	tp	sent_delta	recv_delta
1	95839ad0-b588-0b1d-8475-45fba6ae993c	1020	10420716
1	legs	95839ad0	-
2	95839ad0-b588-0b1d-8475-45fba6ae993c	976	10157761
2	legs	95839ad0	-
3	95839ad0-b588-0b1d-8475-45fba6ae993c	783	10172980
3	legs	95839ad0	-
4	95839ad0-b588-0b1d-8475-45fba6ae993c	800	10109266
4	legs	95839ad0	-
5	95839ad0-b588-0b1d-8475-45fba6ae993c	831	10171163
5	legs	95839ad0	-
6	95839ad0-b588-0b1d-8475-45fba6ae993c	10016359	619
6	legs	95839ad0	-
7	95839ad0-b588-0b1d-8475-45fba6ae993c	10016359	619
7	legs	95839ad0	-
8	95839ad0-b588-0b1d-8475-45fba6ae993c	10016428	683
8	legs	95839ad0	-
9	95839ad0-b588-0b1d-8475-45fba6ae993c	10016840	662
9	legs	95839ad0	-
10	95839ad0-b588-0b1d-8475-45fba6ae993c	10016465	520155
10	legs	95839ad0	-
11	95839ad0-b588-0b1d-8475-45fba6ae993c	2608	51182707
11	legs	95839ad0	-
12	95839ad0-b588-0b1d-8475-45fba6ae993c	1552	50131195
12	legs	95839ad0	-
13	95839ad0-b588-0b1d-8475-45fba6ae993c	1595	50642690
13	legs	95839ad0	-
14	95839ad0-b588-0b1d-8475-45fba6ae993c	1367	50129835
14	legs	95839ad0	-
15	95839ad0-b588-0b1d-8475-45fba6ae993c	1535	50652860
15	legs	95839ad0	-
16	95839ad0-b588-0b1d-8475-45fba6ae993c	50079824	952
16	legs	95839ad0	-
17	95839ad0-b588-0b1d-8475-45fba6ae993c	50082412	947
17	legs	95839ad0	-
18	95839ad0-b588-0b1d-8475-45fba6ae993c	50079871	907
18	legs	95839ad0	-
19	95839ad0-b588-0b1d-8475-45fba6ae993c	50082431	961
19	legs	95839ad0	-
20	95839ad0-b588-0b1d-8475-45fba6ae993c	50080002	521855
20	legs	95839ad0	-
# exit-side dc5330cf-5d85-0b70-88e9-e4ab169d17fd sent_delta=302219305 recv_delta=300499528 over the set
