# row	tp	sent_delta	recv_delta
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	870	10207593
1	legs	fdab37dd	-
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	737	10077357
2	legs	fdab37dd	-
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	958	10310036
3	legs	fdab37dd	-
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	986	10125657
4	legs	fdab37dd	-
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	952	10037369
5	legs	fdab37dd	-
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10025805	4798
6	legs	fdab37dd	-
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10025728	654
7	legs	fdab37dd	-
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10016827	614
8	legs	fdab37dd	-
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10016359	614
9	legs	fdab37dd	-
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10016428	678
10	legs	fdab37dd	-
11	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1393	50364368
11	legs	fdab37dd	-
12	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1688	50612755
12	legs	fdab37dd	-
13	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1562	50501928
13	legs	fdab37dd	-
14	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1771	50521356
14	legs	fdab37dd	-
15	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1999	50858214
15	legs	fdab37dd	-
16	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50112664	1022
16	legs	fdab37dd	-
17	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50111237	992
17	legs	fdab37dd	-
18	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50111263	150408
18	legs	fdab37dd	-
19	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50082436	1021
19	legs	fdab37dd	-
20	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50145424	1102
20	legs	fdab37dd	-
# exit-side 7420f415-abd5-014f-bc55-e6132477485f sent_delta=303032197 recv_delta=300676421 over the set
