# row	tp	sent_delta	recv_delta
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1460	12468388
1	95839ad0-b588-0b1d-8475-45fba6ae993c	114	2724188
1	legs	49159:fdab37dd,95839ad0	-
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1901	9391254
2	95839ad0-b588-0b1d-8475-45fba6ae993c	0	2002116
2	legs	49159:fdab37dd,95839ad0	-
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10017225	695
3	95839ad0-b588-0b1d-8475-45fba6ae993c	24	88
3	legs	49159:fdab37dd,95839ad0	-
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10006439	1082
4	95839ad0-b588-0b1d-8475-45fba6ae993c	108284	0
4	legs	49159:fdab37dd,95839ad0	-
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3835	44139582
5	95839ad0-b588-0b1d-8475-45fba6ae993c	298	7121942
5	legs	49159:fdab37dd,95839ad0	-
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10029	32849539
6	95839ad0-b588-0b1d-8475-45fba6ae993c	18	22038098
6	legs	49159:fdab37dd,95839ad0	-
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	6432313	3544
7	95839ad0-b588-0b1d-8475-45fba6ae993c	43746030	79
7	legs	49159:fdab37dd,95839ad0	-
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	19070343	166981
8	95839ad0-b588-0b1d-8475-45fba6ae993c	31042973	439362
8	legs	49159:fdab37dd,95839ad0	-
# rg src_port before=49159 after=49159 constant
