# row	tp	sent_delta	recv_delta
1	95839ad0-b588-0b1d-8475-45fba6ae993c	272	5232731
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	83	371977
1	f1012467-de9d-09a9-8b49-62a43945c24b	4298	1857344
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	2301	8141147
1	legs	49177:fdab37dd,95839ad0 49178:f1012467,ac40965a	-
2	95839ad0-b588-0b1d-8475-45fba6ae993c	1	3355519
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	9	426635
2	f1012467-de9d-09a9-8b49-62a43945c24b	2508	1518268
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1653	5474250
2	legs	49177:fdab37dd,95839ad0 49178:f1012467,ac40965a	-
3	95839ad0-b588-0b1d-8475-45fba6ae993c	182	1652732
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	1	328255
3	f1012467-de9d-09a9-8b49-62a43945c24b	703	1826474
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1725	7341286
3	legs	49177:fdab37dd,95839ad0 49178:f1012467,ac40965a	-
4	95839ad0-b588-0b1d-8475-45fba6ae993c	0	2956390
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	17	525137
4	f1012467-de9d-09a9-8b49-62a43945c24b	3336	1288311
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1661	5576853
4	legs	49177:fdab37dd,95839ad0 49178:f1012467,ac40965a	-
5	95839ad0-b588-0b1d-8475-45fba6ae993c	1	1703311
5	ac40965a-bc99-01e4-a2c9-c26b76db013b	1	2308568
5	f1012467-de9d-09a9-8b49-62a43945c24b	1451	3879729
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	803	2793669
5	legs	49177:fdab37dd,95839ad0 49178:f1012467,ac40965a	-
6	95839ad0-b588-0b1d-8475-45fba6ae993c	8112994	240
6	ac40965a-bc99-01e4-a2c9-c26b76db013b	1	33
6	f1012467-de9d-09a9-8b49-62a43945c24b	111	522
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	5604890	2193
6	legs	49177:fdab37dd,95839ad0 49178:f1012467,ac40965a	-
7	95839ad0-b588-0b1d-8475-45fba6ae993c	181	496646
7	ac40965a-bc99-01e4-a2c9-c26b76db013b	145	180210
7	f1012467-de9d-09a9-8b49-62a43945c24b	2648	1216830
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	92	162142
7	legs	49177:fdab37dd,95839ad0 49178:f1012467,ac40965a	-
8	95839ad0-b588-0b1d-8475-45fba6ae993c	1	0
8	ac40965a-bc99-01e4-a2c9-c26b76db013b	1	33
8	f1012467-de9d-09a9-8b49-62a43945c24b	37	5
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10016917	854
8	legs	49177:fdab37dd,95839ad0 49178:f1012467,ac40965a	-
9	95839ad0-b588-0b1d-8475-45fba6ae993c	1	0
9	ac40965a-bc99-01e4-a2c9-c26b76db013b	17	49
9	f1012467-de9d-09a9-8b49-62a43945c24b	135	90
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10016433	753
9	legs	49177:fdab37dd,95839ad0 49178:f1012467,ac40965a	-
10	95839ad0-b588-0b1d-8475-45fba6ae993c	72	4138
10	ac40965a-bc99-01e4-a2c9-c26b76db013b	81	4147
10	f1012467-de9d-09a9-8b49-62a43945c24b	108	438967
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10016472	163104
10	legs	49177:fdab37dd,95839ad0 49178:f1012467,ac40965a	-
11	95839ad0-b588-0b1d-8475-45fba6ae993c	2	0
11	ac40965a-bc99-01e4-a2c9-c26b76db013b	2	0
11	f1012467-de9d-09a9-8b49-62a43945c24b	1550	12607471
11	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3104	37508090
11	legs	49177:fdab37dd,95839ad0 49178:f1012467,ac40965a	-
12	95839ad0-b588-0b1d-8475-45fba6ae993c	25	24
12	ac40965a-bc99-01e4-a2c9-c26b76db013b	17	16
12	f1012467-de9d-09a9-8b49-62a43945c24b	946	8404126
