# row	tp	sent_delta	recv_delta
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	552	1614594
1	b414796d-14fc-080e-9ce6-a7162e3e562b	1089	8435964
1	legs	49160:b414796d 49161:50cdb857	-
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	432	1614550
2	b414796d-14fc-080e-9ce6-a7162e3e562b	836	8613864
2	legs	49160:b414796d 49161:50cdb857	-
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	429	1614658
3	b414796d-14fc-080e-9ce6-a7162e3e562b	794	8403208
3	legs	49160:b414796d 49161:50cdb857	-
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	560	1645613
4	b414796d-14fc-080e-9ce6-a7162e3e562b	1121	8403389
4	legs	49160:b414796d 49161:50cdb857	-
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	557	1641908
5	b414796d-14fc-080e-9ce6-a7162e3e562b	944	8403129
5	legs	49160:b414796d 49161:50cdb857	-
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	37
6	b414796d-14fc-080e-9ce6-a7162e3e562b	10016433	748
6	legs	49160:b414796d 49161:50cdb857	-
7	50cdb857-a262-0ae5-bf5b-5c93c8025b69	106	106
7	b414796d-14fc-080e-9ce6-a7162e3e562b	10016433	748
7	legs	49160:b414796d 49161:50cdb857	-
8	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	37
8	b414796d-14fc-080e-9ce6-a7162e3e562b	10016765	721
8	legs	49160:b414796d 49161:50cdb857	-
9	50cdb857-a262-0ae5-bf5b-5c93c8025b69	0	0
9	b414796d-14fc-080e-9ce6-a7162e3e562b	10016832	679
9	legs	49160:b414796d 49161:50cdb857	-
10	50cdb857-a262-0ae5-bf5b-5c93c8025b69	0	0
10	b414796d-14fc-080e-9ce6-a7162e3e562b	10016728	674
10	legs	49160:b414796d 49161:50cdb857	-
11	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1572	16806865
11	b414796d-14fc-080e-9ce6-a7162e3e562b	2936	33560452
11	legs	49160:b414796d 49161:50cdb857	-
12	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1371	8558341
12	b414796d-14fc-080e-9ce6-a7162e3e562b	3263	41687214
12	legs	49160:b414796d 49161:50cdb857	-
13	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1156	12318807
13	b414796d-14fc-080e-9ce6-a7162e3e562b	2977	37816022
13	legs	49160:b414796d 49161:50cdb857	-
14	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1172	12604928
14	b414796d-14fc-080e-9ce6-a7162e3e562b	2980	37483263
14	legs	49160:b414796d 49161:50cdb857	-
15	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1031	12604944
15	b414796d-14fc-080e-9ce6-a7162e3e562b	3125	37483724
15	legs	49160:b414796d 49161:50cdb857	-
16	50cdb857-a262-0ae5-bf5b-5c93c8025b69	222	151932
16	b414796d-14fc-080e-9ce6-a7162e3e562b	50115390	295432
16	legs	49160:b414796d 49161:50cdb857	-
17	50cdb857-a262-0ae5-bf5b-5c93c8025b69	40541044	3103946
17	b414796d-14fc-080e-9ce6-a7162e3e562b	11462	7907911
17	legs	49160:b414796d 49161:50cdb857	-
18	50cdb857-a262-0ae5-bf5b-5c93c8025b69	262578	107
18	b414796d-14fc-080e-9ce6-a7162e3e562b	50079977	1004
18	legs	49160:b414796d 49161:50cdb857	-
19	50cdb857-a262-0ae5-bf5b-5c93c8025b69	492342	117
19	b414796d-14fc-080e-9ce6-a7162e3e562b	50080088	429572
19	legs	49160:b414796d 49161:50cdb857	-
20	50cdb857-a262-0ae5-bf5b-5c93c8025b69	525135	152314
20	b414796d-14fc-080e-9ce6-a7162e3e562b	50080024	1153
20	legs	49160:b414796d 49161:50cdb857	-
