# row	tp	sent_delta	recv_delta
1	95839ad0-b588-0b1d-8475-45fba6ae993c	199	1139128
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	1	1648975
1	f1012467-de9d-09a9-8b49-62a43945c24b	1582	7311887
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	717	2278781
1	legs	49172:fdab37dd,95839ad0 49173:f1012467,ac40965a	-
2	95839ad0-b588-0b1d-8475-45fba6ae993c	1	3479407
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	1	1798104
2	f1012467-de9d-09a9-8b49-62a43945c24b	1263	4214959
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	656	853404
2	legs	49172:fdab37dd,95839ad0 49173:f1012467,ac40965a	-
3	95839ad0-b588-0b1d-8475-45fba6ae993c	0	2571764
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	183	3263485
3	f1012467-de9d-09a9-8b49-62a43945c24b	1231	3589838
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	701	1629894
3	legs	49172:fdab37dd,95839ad0 49173:f1012467,ac40965a	-
4	95839ad0-b588-0b1d-8475-45fba6ae993c	0	2618366
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	9	3149609
4	f1012467-de9d-09a9-8b49-62a43945c24b	1366	2732206
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	869	1648816
4	legs	49172:fdab37dd,95839ad0 49173:f1012467,ac40965a	-
5	95839ad0-b588-0b1d-8475-45fba6ae993c	226	3084672
5	ac40965a-bc99-01e4-a2c9-c26b76db013b	88	4113103
5	f1012467-de9d-09a9-8b49-62a43945c24b	1707	4712433
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1199	2262307
5	legs	49172:fdab37dd,95839ad0 49173:f1012467,ac40965a	-
6	95839ad0-b588-0b1d-8475-45fba6ae993c	1	320
6	ac40965a-bc99-01e4-a2c9-c26b76db013b	1	1
6	f1012467-de9d-09a9-8b49-62a43945c24b	37	37
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10016339	347
6	legs	49172:fdab37dd,95839ad0 49173:f1012467,ac40965a	-
7	95839ad0-b588-0b1d-8475-45fba6ae993c	4727809	1
7	ac40965a-bc99-01e4-a2c9-c26b76db013b	0	0
7	f1012467-de9d-09a9-8b49-62a43945c24b	37	37
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10006424	2256
7	legs	49172:fdab37dd,95839ad0 49173:f1012467,ac40965a	-
8	95839ad0-b588-0b1d-8475-45fba6ae993c	10236045	491798
8	ac40965a-bc99-01e4-a2c9-c26b76db013b	120	169374
8	f1012467-de9d-09a9-8b49-62a43945c24b	167	0
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10056	164202
8	legs	49172:fdab37dd,95839ad0 49173:f1012467,ac40965a	-
9	95839ad0-b588-0b1d-8475-45fba6ae993c	75497	46
