# row	tp	sent_delta	recv_delta
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	978	8400902
1	f1012467-de9d-09a9-8b49-62a43945c24b	1	2415161
1	95839ad0-b588-0b1d-8475-45fba6ae993c	1	0
1	legs	49170:fdab37dd,f1012467,95839ad0	-
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1013	6702227
2	f1012467-de9d-09a9-8b49-62a43945c24b	115	4364142
2	95839ad0-b588-0b1d-8475-45fba6ae993c	1	0
2	legs	49170:fdab37dd,f1012467,95839ad0	-
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	822	5979547
3	f1012467-de9d-09a9-8b49-62a43945c24b	115	4201015
3	95839ad0-b588-0b1d-8475-45fba6ae993c	1	0
3	legs	49170:fdab37dd,f1012467,95839ad0	-
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	758	5810447
4	f1012467-de9d-09a9-8b49-62a43945c24b	9	4320203
4	95839ad0-b588-0b1d-8475-45fba6ae993c	9	8
4	legs	49170:fdab37dd,f1012467,95839ad0	-
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	2321	5481430
5	f1012467-de9d-09a9-8b49-62a43945c24b	72	6221141
5	95839ad0-b588-0b1d-8475-45fba6ae993c	72	1144772
5	legs	49170:fdab37dd,f1012467,95839ad0	-
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10016365	122
6	f1012467-de9d-09a9-8b49-62a43945c24b	0	302
6	95839ad0-b588-0b1d-8475-45fba6ae993c	1	288
6	legs	49170:fdab37dd,f1012467,95839ad0	-
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3324572	4245
7	f1012467-de9d-09a9-8b49-62a43945c24b	3347755	17
7	95839ad0-b588-0b1d-8475-45fba6ae993c	4721257	9
7	legs	49170:fdab37dd,f1012467,95839ad0	-
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3344531	4182
8	f1012467-de9d-09a9-8b49-62a43945c24b	3336941	1
8	95839ad0-b588-0b1d-8475-45fba6ae993c	4089227	0
8	legs	49170:fdab37dd,f1012467,95839ad0	-
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3329501	163084
9	f1012467-de9d-09a9-8b49-62a43945c24b	3342512	374940
9	95839ad0-b588-0b1d-8475-45fba6ae993c	4492096	0
9	legs	49170:fdab37dd,f1012467,95839ad0	-
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3443208	6070
10	f1012467-de9d-09a9-8b49-62a43945c24b	3439855	16
10	95839ad0-b588-0b1d-8475-45fba6ae993c	4281443	17
10	legs	49170:fdab37dd,f1012467,95839ad0	-
11	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	9159	40618587
11	f1012467-de9d-09a9-8b49-62a43945c24b	75	16619545
11	95839ad0-b588-0b1d-8475-45fba6ae993c	105	4144586
11	legs	49170:fdab37dd,f1012467,95839ad0	-
12	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	17361	16674350
12	f1012467-de9d-09a9-8b49-62a43945c24b	72	39554899
12	95839ad0-b588-0b1d-8475-45fba6ae993c	72	28136882
12	legs	49170:fdab37dd,f1012467,95839ad0	-
13	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	11585	10626036
13	f1012467-de9d-09a9-8b49-62a43945c24b	2	7753392
13	95839ad0-b588-0b1d-8475-45fba6ae993c	9	52562085
13	legs	49170:fdab37dd,f1012467,95839ad0	-
14	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	8483	11629125
14	f1012467-de9d-09a9-8b49-62a43945c24b	80	444301
14	95839ad0-b588-0b1d-8475-45fba6ae993c	72	55748641
14	legs	49170:fdab37dd,f1012467,95839ad0	-
15	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	7294	12822139
15	f1012467-de9d-09a9-8b49-62a43945c24b	18	16
15	95839ad0-b588-0b1d-8475-45fba6ae993c	51	37782950
15	legs	49170:fdab37dd,f1012467,95839ad0	-
16	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50079872	913
16	f1012467-de9d-09a9-8b49-62a43945c24b	10	62
16	95839ad0-b588-0b1d-8475-45fba6ae993c	9	8
16	legs	49170:fdab37dd,f1012467,95839ad0	-
17	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50082352	1049
17	f1012467-de9d-09a9-8b49-62a43945c24b	1	0
17	95839ad0-b588-0b1d-8475-45fba6ae993c	1	0
17	legs	49170:fdab37dd,f1012467,95839ad0	-
18	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	32065522	3565
18	f1012467-de9d-09a9-8b49-62a43945c24b	1	0
18	95839ad0-b588-0b1d-8475-45fba6ae993c	18145496	8
18	legs	49170:fdab37dd,f1012467,95839ad0	-
19	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	43177451	10439
19	f1012467-de9d-09a9-8b49-62a43945c24b	8595907	0
19	95839ad0-b588-0b1d-8475-45fba6ae993c	72	490214
19	legs	49170:fdab37dd,f1012467,95839ad0	-
20	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50079856	1019
20	f1012467-de9d-09a9-8b49-62a43945c24b	1	0
20	95839ad0-b588-0b1d-8475-45fba6ae993c	1	0
20	legs	49170:fdab37dd,f1012467,95839ad0	-
# rg src_port before=49170 after=49170 constant
