# row	tp	sent_delta	recv_delta
1	95839ad0-b588-0b1d-8475-45fba6ae993c	429	4201542
1	b414796d-14fc-080e-9ce6-a7162e3e562b	424	1614626
1	f1012467-de9d-09a9-8b49-62a43945c24b	454	4201614
1	legs	49162:b414796d 49163:95839ad0 49165:f1012467	-
2	95839ad0-b588-0b1d-8475-45fba6ae993c	437	4201582
2	b414796d-14fc-080e-9ce6-a7162e3e562b	358	1614545
2	f1012467-de9d-09a9-8b49-62a43945c24b	388	4201585
2	legs	49162:b414796d 49163:95839ad0 49165:f1012467	-
3	95839ad0-b588-0b1d-8475-45fba6ae993c	532	4689711
3	b414796d-14fc-080e-9ce6-a7162e3e562b	3066	1935121
3	f1012467-de9d-09a9-8b49-62a43945c24b	360	4446113
3	legs	49162:b414796d 49163:95839ad0 49165:f1012467	-
4	95839ad0-b588-0b1d-8475-45fba6ae993c	355	1614589
4	b414796d-14fc-080e-9ce6-a7162e3e562b	535	4201599
4	f1012467-de9d-09a9-8b49-62a43945c24b	375	4201666
4	legs	49162:b414796d 49163:95839ad0 49165:f1012467	-
5	95839ad0-b588-0b1d-8475-45fba6ae993c	1069	5816146
5	b414796d-14fc-080e-9ce6-a7162e3e562b	12074	4228596
5	f1012467-de9d-09a9-8b49-62a43945c24b	69	69
5	legs	49162:b414796d 49163:95839ad0 49165:f1012467	-
6	95839ad0-b588-0b1d-8475-45fba6ae993c	37	37
6	b414796d-14fc-080e-9ce6-a7162e3e562b	10047620	31189
6	f1012467-de9d-09a9-8b49-62a43945c24b	45	45
6	legs	49162:b414796d 49163:95839ad0 49165:f1012467	-
7	95839ad0-b588-0b1d-8475-45fba6ae993c	5	37
7	b414796d-14fc-080e-9ce6-a7162e3e562b	10023359	7213
7	f1012467-de9d-09a9-8b49-62a43945c24b	0	0
7	legs	49162:b414796d 49163:95839ad0 49165:f1012467	-
8	95839ad0-b588-0b1d-8475-45fba6ae993c	0	0
8	b414796d-14fc-080e-9ce6-a7162e3e562b	10025950	6241
8	f1012467-de9d-09a9-8b49-62a43945c24b	32	32
8	legs	49162:b414796d 49163:95839ad0 49165:f1012467	-
9	95839ad0-b588-0b1d-8475-45fba6ae993c	37	37
9	b414796d-14fc-080e-9ce6-a7162e3e562b	10020523	6170
9	f1012467-de9d-09a9-8b49-62a43945c24b	5	37
9	legs	49162:b414796d 49163:95839ad0 49165:f1012467	-
10	95839ad0-b588-0b1d-8475-45fba6ae993c	10016362	652
10	b414796d-14fc-080e-9ce6-a7162e3e562b	94	566
10	f1012467-de9d-09a9-8b49-62a43945c24b	8	8
10	legs	49162:b414796d 49163:95839ad0 49165:f1012467	-
11	95839ad0-b588-0b1d-8475-45fba6ae993c	1634	13093035
11	b414796d-14fc-080e-9ce6-a7162e3e562b	9022	25213514
11	f1012467-de9d-09a9-8b49-62a43945c24b	1495	13086592
11	legs	49162:b414796d 49163:95839ad0 49165:f1012467	-
12	95839ad0-b588-0b1d-8475-45fba6ae993c	1416	16474266
12	b414796d-14fc-080e-9ce6-a7162e3e562b	16765	21115370
12	f1012467-de9d-09a9-8b49-62a43945c24b	1263	12605061
12	legs	49162:b414796d 49163:95839ad0 49165:f1012467	-
13	95839ad0-b588-0b1d-8475-45fba6ae993c	1133	13118699
13	b414796d-14fc-080e-9ce6-a7162e3e562b	31779	17392872
13	f1012467-de9d-09a9-8b49-62a43945c24b	2062	21125530
13	legs	49162:b414796d 49163:95839ad0 49165:f1012467	-
14	95839ad0-b588-0b1d-8475-45fba6ae993c	1134	12604643
14	b414796d-14fc-080e-9ce6-a7162e3e562b	26119	20693584
14	f1012467-de9d-09a9-8b49-62a43945c24b	1468	16806699
14	legs	49162:b414796d 49163:95839ad0 49165:f1012467	-
15	95839ad0-b588-0b1d-8475-45fba6ae993c	1406	16474291
15	b414796d-14fc-080e-9ce6-a7162e3e562b	30988	21590471
15	f1012467-de9d-09a9-8b49-62a43945c24b	1114	12604883
15	legs	49162:b414796d 49163:95839ad0 49165:f1012467	-
16	95839ad0-b588-0b1d-8475-45fba6ae993c	50080033	489054
16	b414796d-14fc-080e-9ce6-a7162e3e562b	28887	1458739
16	f1012467-de9d-09a9-8b49-62a43945c24b	145	447998
16	legs	49162:b414796d 49163:95839ad0 49165:f1012467	-
17	95839ad0-b588-0b1d-8475-45fba6ae993c	50079836	996
17	b414796d-14fc-080e-9ce6-a7162e3e562b	177	231
17	f1012467-de9d-09a9-8b49-62a43945c24b	106	106
17	legs	49162:b414796d 49163:95839ad0 49165:f1012467	-
18	95839ad0-b588-0b1d-8475-45fba6ae993c	45	45
18	b414796d-14fc-080e-9ce6-a7162e3e562b	50082352	1157
18	f1012467-de9d-09a9-8b49-62a43945c24b	101	101
18	legs	49162:b414796d 49163:95839ad0 49165:f1012467	-
19	95839ad0-b588-0b1d-8475-45fba6ae993c	140	69
19	b414796d-14fc-080e-9ce6-a7162e3e562b	849	4670
19	f1012467-de9d-09a9-8b49-62a43945c24b	50080066	448125
19	legs	49162:b414796d 49163:95839ad0 49165:f1012467	-
20	95839ad0-b588-0b1d-8475-45fba6ae993c	69	69
20	b414796d-14fc-080e-9ce6-a7162e3e562b	50079991	1243
20	f1012467-de9d-09a9-8b49-62a43945c24b	133	101
20	legs	49162:b414796d 49163:95839ad0 49165:f1012467	-
