# row	tp	sent_delta	recv_delta
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3159	4516410
1	95839ad0-b588-0b1d-8475-45fba6ae993c	232	11243543
1	legs	49176:fdab37dd,95839ad0	-
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1747	2034860
2	95839ad0-b588-0b1d-8475-45fba6ae993c	76	8018544
2	legs	49176:fdab37dd,95839ad0	-
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10016418	513
3	95839ad0-b588-0b1d-8475-45fba6ae993c	101	281
3	legs	49176:fdab37dd,95839ad0	-
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10201	1022
4	95839ad0-b588-0b1d-8475-45fba6ae993c	10006574	5
4	legs	49176:fdab37dd,95839ad0	-
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10006679	1242
5	95839ad0-b588-0b1d-8475-45fba6ae993c	10224	16
5	legs	49176:fdab37dd,95839ad0	-
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	7905	42597174
6	95839ad0-b588-0b1d-8475-45fba6ae993c	332	7647168
6	legs	49176:fdab37dd,95839ad0	-
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	11166	38157138
7	95839ad0-b588-0b1d-8475-45fba6ae993c	355	13925018
7	legs	49176:fdab37dd,95839ad0	-
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50082347	895
8	95839ad0-b588-0b1d-8475-45fba6ae993c	44	170
8	legs	49176:fdab37dd,95839ad0	-
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50079856	1009
9	95839ad0-b588-0b1d-8475-45fba6ae993c	38	37
9	legs	49176:fdab37dd,95839ad0	-
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50083912	1049
10	95839ad0-b588-0b1d-8475-45fba6ae993c	38	37
10	legs	49176:fdab37dd,95839ad0	-
# rg src_port before=49176 after=49176 constant
