# row	tp	sent_delta	recv_delta
1	b414796d-14fc-080e-9ce6-a7162e3e562b	20192	1647613
1	f1012467-de9d-09a9-8b49-62a43945c24b	1178	4213732
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	212	212
1	95839ad0-b588-0b1d-8475-45fba6ae993c	1244	4202127
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	318	345
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	281	281
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	289	289
1	legs	49164:b414796d 49165:f1012467 49166:fdab37dd 49167:95839ad0 49168:ac40965a 49169:50cdb857 49170:2c4ae7a5 49171:1386b4b9	-
2	b414796d-14fc-080e-9ce6-a7162e3e562b	22355	8453344
2	f1012467-de9d-09a9-8b49-62a43945c24b	728	1633731
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	84	175
2	95839ad0-b588-0b1d-8475-45fba6ae993c	222	249
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	106	106
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	146	114
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	138	74
2	1386b4b9-534f-070f-8a82-89f82db35fbb	143	127
2	legs	49164:b414796d 49165:f1012467 49166:fdab37dd 49167:95839ad0 49168:ac40965a 49169:50cdb857 49170:2c4ae7a5 49171:1386b4b9	-
3	b414796d-14fc-080e-9ce6-a7162e3e562b	5810425	5178
3	f1012467-de9d-09a9-8b49-62a43945c24b	4196941	435707
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	74	74
3	95839ad0-b588-0b1d-8475-45fba6ae993c	214	264
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	37	37
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	69	69
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	37	37
3	1386b4b9-534f-070f-8a82-89f82db35fbb	80	16
3	legs	49164:b414796d 49165:f1012467 49166:fdab37dd 49167:95839ad0 49168:ac40965a 49169:50cdb857 49170:2c4ae7a5 49171:1386b4b9	-
4	b414796d-14fc-080e-9ce6-a7162e3e562b	5809682	2325
4	f1012467-de9d-09a9-8b49-62a43945c24b	4262400	662
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	69	37
4	95839ad0-b588-0b1d-8475-45fba6ae993c	69	37
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	79	106
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	53
4	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	37	37
4	1386b4b9-534f-070f-8a82-89f82db35fbb	42	37
4	legs	49164:b414796d 49165:f1012467 49166:fdab37dd 49167:95839ad0 49168:ac40965a 49169:50cdb857 49170:2c4ae7a5 49171:1386b4b9	-
5	b414796d-14fc-080e-9ce6-a7162e3e562b	5814881	7514
5	f1012467-de9d-09a9-8b49-62a43945c24b	4262437	833
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	77	77
5	95839ad0-b588-0b1d-8475-45fba6ae993c	170	170
5	ac40965a-bc99-01e4-a2c9-c26b76db013b	69	69
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	106	106
5	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	69	69
5	1386b4b9-534f-070f-8a82-89f82db35fbb	106	117
5	legs	49164:b414796d 49165:f1012467 49166:fdab37dd 49167:95839ad0 49168:ac40965a 49169:50cdb857 49170:2c4ae7a5 49171:1386b4b9	-
6	b414796d-14fc-080e-9ce6-a7162e3e562b	49523	25258194
6	f1012467-de9d-09a9-8b49-62a43945c24b	3108	21443613
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	466	166950
6	95839ad0-b588-0b1d-8475-45fba6ae993c	1485	4681764
6	ac40965a-bc99-01e4-a2c9-c26b76db013b	389	180962
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	421	171134
6	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	429	203160
6	1386b4b9-534f-070f-8a82-89f82db35fbb	378	475
6	legs	49164:b414796d 49165:f1012467 49166:fdab37dd 49167:95839ad0 49168:ac40965a 49169:50cdb857 49170:2c4ae7a5 49171:1386b4b9	-
7	b414796d-14fc-080e-9ce6-a7162e3e562b	11202	25302797
7	f1012467-de9d-09a9-8b49-62a43945c24b	3182	21053439
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	389	4456
7	95839ad0-b588-0b1d-8475-45fba6ae993c	1213	4679091
7	ac40965a-bc99-01e4-a2c9-c26b76db013b	426	180227
7	50cdb857-a262-0ae5-bf5b-5c93c8025b69	389	172123
7	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	397	200793
7	1386b4b9-534f-070f-8a82-89f82db35fbb	442	481
7	legs	49164:b414796d 49165:f1012467 49166:fdab37dd 49167:95839ad0 49168:ac40965a 49169:50cdb857 49170:2c4ae7a5 49171:1386b4b9	-
8	b414796d-14fc-080e-9ce6-a7162e3e562b	33295260	404020
8	f1012467-de9d-09a9-8b49-62a43945c24b	16787809	437503
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	397	162386
8	95839ad0-b588-0b1d-8475-45fba6ae993c	715	476399
8	ac40965a-bc99-01e4-a2c9-c26b76db013b	277	181084
8	50cdb857-a262-0ae5-bf5b-5c93c8025b69	469	171400
8	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	397	198424
8	1386b4b9-534f-070f-8a82-89f82db35fbb	501	390
8	legs	49164:b414796d 49165:f1012467 49166:fdab37dd 49167:95839ad0 49168:ac40965a 49169:50cdb857 49170:2c4ae7a5 49171:1386b4b9	-
9	b414796d-14fc-080e-9ce6-a7162e3e562b	37453484	18131
9	f1012467-de9d-09a9-8b49-62a43945c24b	12590634	2063
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	177	106
9	95839ad0-b588-0b1d-8475-45fba6ae993c	463	475113
9	ac40965a-bc99-01e4-a2c9-c26b76db013b	177	69779
9	50cdb857-a262-0ae5-bf5b-5c93c8025b69	177	170585
9	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	214	197333
9	1386b4b9-534f-070f-8a82-89f82db35fbb	540	0
9	legs	49164:b414796d 49165:f1012467 49166:fdab37dd 49167:95839ad0 49168:ac40965a 49169:50cdb857 49170:2c4ae7a5 49171:1386b4b9	-
10	b414796d-14fc-080e-9ce6-a7162e3e562b	33287833	294604
10	f1012467-de9d-09a9-8b49-62a43945c24b	16787395	2498
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	74	74
10	95839ad0-b588-0b1d-8475-45fba6ae993c	212	180
10	ac40965a-bc99-01e4-a2c9-c26b76db013b	106	106
10	50cdb857-a262-0ae5-bf5b-5c93c8025b69	114	114
10	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	74	74
10	1386b4b9-534f-070f-8a82-89f82db35fbb	106	133
10	legs	49164:b414796d 49165:f1012467 49166:fdab37dd 49167:95839ad0 49168:ac40965a 49169:50cdb857 49170:2c4ae7a5 49171:1386b4b9	-
