# row	tp	sent_delta	recv_delta
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	832	10370615
1	legs	2c4ae7a5	-
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	572	10202327
2	legs	2c4ae7a5	-
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	688	10115778
3	legs	2c4ae7a5	-
4	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	564	10109332
4	legs	2c4ae7a5	-
5	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	623	10109348
5	legs	2c4ae7a5	-
6	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	10016827	667
6	legs	2c4ae7a5	-
7	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	10016832	659
7	legs	2c4ae7a5	-
8	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	10016903	179879
8	legs	2c4ae7a5	-
9	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	10016364	674
9	legs	2c4ae7a5	-
10	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	10049516	699
10	legs	2c4ae7a5	-
11	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	1375	50350007
11	legs	2c4ae7a5	-
12	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	1341	50104967
12	legs	2c4ae7a5	-
13	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	1056	50260160
13	legs	2c4ae7a5	-
14	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	1516	50137786
14	legs	2c4ae7a5	-
15	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	1161	50263513
15	legs	2c4ae7a5	-
16	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	50145634	186926
16	legs	2c4ae7a5	-
17	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	50079866	947
17	legs	2c4ae7a5	-
18	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	50079945	1253
18	legs	2c4ae7a5	-
19	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	50079990	187682
19	legs	2c4ae7a5	-
20	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	50082362	920
20	legs	2c4ae7a5	-
# exit-side d0b47ec2-f051-0fc7-b194-f81e98f33f8e sent_delta=301329419 recv_delta=300600263 over the set
