# row	tp	sent_delta	recv_delta
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	740	10077492
1	legs	ac40965a	-
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	1616	10107217
2	legs	ac40965a	-
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	3743	10581688
3	legs	ac40965a	-
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	8083	10035619
4	legs	ac40965a	-
5	ac40965a-bc99-01e4-a2c9-c26b76db013b	821	10190878
5	legs	ac40965a	-
6	ac40965a-bc99-01e4-a2c9-c26b76db013b	10016619	659
6	legs	ac40965a	-
7	ac40965a-bc99-01e4-a2c9-c26b76db013b	10022503	624
7	legs	ac40965a	-
8	ac40965a-bc99-01e4-a2c9-c26b76db013b	10032886	587
8	legs	ac40965a	-
9	ac40965a-bc99-01e4-a2c9-c26b76db013b	10036831	3056
9	legs	ac40965a	-
10	ac40965a-bc99-01e4-a2c9-c26b76db013b	10016460	673
10	legs	ac40965a	-
11	ac40965a-bc99-01e4-a2c9-c26b76db013b	975	50289332
11	legs	ac40965a	-
12	ac40965a-bc99-01e4-a2c9-c26b76db013b	5108	50083658
12	legs	ac40965a	-
13	ac40965a-bc99-01e4-a2c9-c26b76db013b	5599	51145205
13	legs	ac40965a	-
14	ac40965a-bc99-01e4-a2c9-c26b76db013b	7555	50261854
14	legs	ac40965a	-
15	ac40965a-bc99-01e4-a2c9-c26b76db013b	15019	50089992
15	legs	ac40965a	-
16	ac40965a-bc99-01e4-a2c9-c26b76db013b	50255065	184891
16	legs	ac40965a	-
17	ac40965a-bc99-01e4-a2c9-c26b76db013b	50080903	2802
17	legs	ac40965a	-
18	ac40965a-bc99-01e4-a2c9-c26b76db013b	50088328	1028080
18	legs	ac40965a	-
19	ac40965a-bc99-01e4-a2c9-c26b76db013b	50269165	365752
19	legs	ac40965a	-
20	ac40965a-bc99-01e4-a2c9-c26b76db013b	50119479	3564
20	legs	ac40965a	-
# exit-side 3de424e0-edac-027d-bf49-8012ef60d061 sent_delta=301322498 recv_delta=301227898 over the set
