# row	tp	sent_delta	recv_delta
1	b414796d-14fc-080e-9ce6-a7162e3e562b	3414	10018039
1	legs	49157:b414796d 49158:b414796d	-
2	b414796d-14fc-080e-9ce6-a7162e3e562b	574	10016397
2	legs	49157:b414796d 49158:b414796d	-
3	b414796d-14fc-080e-9ce6-a7162e3e562b	2360	10016520
3	legs	49157:b414796d 49158:b414796d	-
4	b414796d-14fc-080e-9ce6-a7162e3e562b	2576	10018144
4	legs	49157:b414796d 49158:b414796d	-
5	b414796d-14fc-080e-9ce6-a7162e3e562b	645	10226544
5	legs	49157:b414796d 49158:b414796d	-
6	b414796d-14fc-080e-9ce6-a7162e3e562b	10018719	2537
6	legs	49157:b414796d 49158:b414796d	-
7	b414796d-14fc-080e-9ce6-a7162e3e562b	10018081	1151
7	legs	49157:b414796d 49158:b414796d	-
8	b414796d-14fc-080e-9ce6-a7162e3e562b	10016832	664
8	legs	49157:b414796d 49158:b414796d	-
9	b414796d-14fc-080e-9ce6-a7162e3e562b	10016832	659
9	legs	49157:b414796d 49158:b414796d	-
10	b414796d-14fc-080e-9ce6-a7162e3e562b	10016832	659
10	legs	49157:b414796d 49158:b414796d	-
11	b414796d-14fc-080e-9ce6-a7162e3e562b	2651	50112822
11	legs	49157:b414796d 49158:b414796d	-
12	b414796d-14fc-080e-9ce6-a7162e3e562b	15693	50633771
12	legs	49157:b414796d 49158:b414796d	-
13	b414796d-14fc-080e-9ce6-a7162e3e562b	4900	50086063
13	legs	49157:b414796d 49158:b414796d	-
14	b414796d-14fc-080e-9ce6-a7162e3e562b	3111	50114582
14	legs	49157:b414796d 49158:b414796d	-
15	b414796d-14fc-080e-9ce6-a7162e3e562b	17006	50307583
15	legs	49157:b414796d 49158:b414796d	-
16	b414796d-14fc-080e-9ce6-a7162e3e562b	50122797	9519
16	legs	49157:b414796d 49158:b414796d	-
17	b414796d-14fc-080e-9ce6-a7162e3e562b	50097950	8150
17	legs	49157:b414796d 49158:b414796d	-
18	b414796d-14fc-080e-9ce6-a7162e3e562b	50093076	7795
18	legs	49157:b414796d 49158:b414796d	-
19	b414796d-14fc-080e-9ce6-a7162e3e562b	50092635	234488
19	legs	49157:b414796d 49158:b414796d	-
20	b414796d-14fc-080e-9ce6-a7162e3e562b	50102940	181693
20	legs	49157:b414796d 49158:b414796d	-
