# row	tp	sent_delta	recv_delta
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1312	8736382
1	95839ad0-b588-0b1d-8475-45fba6ae993c	115	2002085
1	legs	49162:fdab37dd,95839ad0	-
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1795	11004807
2	95839ad0-b588-0b1d-8475-45fba6ae993c	185	2769421
2	legs	49162:fdab37dd,95839ad0	-
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10016394	594
3	95839ad0-b588-0b1d-8475-45fba6ae993c	1	78
3	legs	49162:fdab37dd,95839ad0	-
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10006451	1077
4	95839ad0-b588-0b1d-8475-45fba6ae993c	108284	45
4	legs	49162:fdab37dd,95839ad0	-
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	2619	45091419
5	95839ad0-b588-0b1d-8475-45fba6ae993c	381	4988665
5	legs	49162:fdab37dd,95839ad0	-
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	7293	39957593
6	95839ad0-b588-0b1d-8475-45fba6ae993c	66	16208086
6	legs	49162:fdab37dd,95839ad0	-
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50037729	162185
7	95839ad0-b588-0b1d-8475-45fba6ae993c	1288037	489019
7	legs	49162:fdab37dd,95839ad0	-
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50031134	2579
8	95839ad0-b588-0b1d-8475-45fba6ae993c	49411	46
8	legs	49162:fdab37dd,95839ad0	-
# rg src_port before=49162 after=49162 constant
