# row	tp	sent_delta	recv_delta
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	3205	2531117
1	f1012467-de9d-09a9-8b49-62a43945c24b	759	14771426
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1	2465711
1	95839ad0-b588-0b1d-8475-45fba6ae993c	1	1
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	201	2448872
1	legs	49170:ac40965a,f1012467,fdab37dd,95839ad0,50cdb857	-
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	4114	2701261
2	f1012467-de9d-09a9-8b49-62a43945c24b	706	17495732
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	96	2525393
2	95839ad0-b588-0b1d-8475-45fba6ae993c	96	530000
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	444	2778058
2	legs	49170:ac40965a,f1012467,fdab37dd,95839ad0,50cdb857	-
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	6372	2297573
3	f1012467-de9d-09a9-8b49-62a43945c24b	205	17599171
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	201	1448144
3	95839ad0-b588-0b1d-8475-45fba6ae993c	735	1861620
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	115	2145021
3	legs	49170:ac40965a,f1012467,fdab37dd,95839ad0,50cdb857	-
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	5581	1476997
4	f1012467-de9d-09a9-8b49-62a43945c24b	165	15350024
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	161	2465540
4	95839ad0-b588-0b1d-8475-45fba6ae993c	734	2502336
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	0	1668403
4	legs	49170:ac40965a,f1012467,fdab37dd,95839ad0,50cdb857	-
5	ac40965a-bc99-01e4-a2c9-c26b76db013b	6133	2664658
5	f1012467-de9d-09a9-8b49-62a43945c24b	342	18094682
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	338	286734
5	95839ad0-b588-0b1d-8475-45fba6ae993c	2180	3090298
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	378	2530921
5	legs	49170:ac40965a,f1012467,fdab37dd,95839ad0,50cdb857	-
6	ac40965a-bc99-01e4-a2c9-c26b76db013b	2757469	270
6	f1012467-de9d-09a9-8b49-62a43945c24b	2405943	1143
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	2425693	5158
6	95839ad0-b588-0b1d-8475-45fba6ae993c	9	9
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	8070434	4389
6	legs	49170:ac40965a,f1012467,fdab37dd,95839ad0,50cdb857	-
7	ac40965a-bc99-01e4-a2c9-c26b76db013b	3092311	241
7	f1012467-de9d-09a9-8b49-62a43945c24b	7877197	1135
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3008212	6246
7	95839ad0-b588-0b1d-8475-45fba6ae993c	0	0
