# row	tp	sent_delta	recv_delta
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	109	77
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	138	138
1	95839ad0-b588-0b1d-8475-45fba6ae993c	745	4201671
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	74	74
1	b414796d-14fc-080e-9ce6-a7162e3e562b	45690	5845828
1	f1012467-de9d-09a9-8b49-62a43945c24b	14509	45908
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	37	37
1	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49163:2c4ae7a5 49164:50cdb857 49165:ac40965a	-
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	69	69
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	69	69
2	95839ad0-b588-0b1d-8475-45fba6ae993c	769	4201695
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	106	106
2	b414796d-14fc-080e-9ce6-a7162e3e562b	42013	5842684
2	f1012467-de9d-09a9-8b49-62a43945c24b	12893	14046
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	77	109
2	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49163:2c4ae7a5 49164:50cdb857 49165:ac40965a	-
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	109	77
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	114	141
3	95839ad0-b588-0b1d-8475-45fba6ae993c	10016852	731
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	77	77
3	b414796d-14fc-080e-9ce6-a7162e3e562b	35027	207454
3	f1012467-de9d-09a9-8b49-62a43945c24b	25881	70918
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	69	69
3	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49163:2c4ae7a5 49164:50cdb857 49165:ac40965a	-
4	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	37	37
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	45	45
4	95839ad0-b588-0b1d-8475-45fba6ae993c	10016396	686
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	5	37
4	b414796d-14fc-080e-9ce6-a7162e3e562b	23860	16399
4	f1012467-de9d-09a9-8b49-62a43945c24b	13733	126950
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	37	37
4	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49163:2c4ae7a5 49164:50cdb857 49165:ac40965a	-
5	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	69	69
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	69	69
5	95839ad0-b588-0b1d-8475-45fba6ae993c	10016668	750
5	ac40965a-bc99-01e4-a2c9-c26b76db013b	69	69
5	b414796d-14fc-080e-9ce6-a7162e3e562b	43940	29160
5	f1012467-de9d-09a9-8b49-62a43945c24b	7147	6599
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	42	106
5	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49163:2c4ae7a5 49164:50cdb857 49165:ac40965a	-
6	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	138	138
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	138	170
6	95839ad0-b588-0b1d-8475-45fba6ae993c	2352	29079183
6	ac40965a-bc99-01e4-a2c9-c26b76db013b	138	122
6	b414796d-14fc-080e-9ce6-a7162e3e562b	31546	21156209
6	f1012467-de9d-09a9-8b49-62a43945c24b	51147	243219
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	106	106
6	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49163:2c4ae7a5 49164:50cdb857 49165:ac40965a	-
7	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	101	37
7	50cdb857-a262-0ae5-bf5b-5c93c8025b69	101	101
7	95839ad0-b588-0b1d-8475-45fba6ae993c	2859	33614364
7	ac40965a-bc99-01e4-a2c9-c26b76db013b	106	106
7	b414796d-14fc-080e-9ce6-a7162e3e562b	6407	16478444
7	f1012467-de9d-09a9-8b49-62a43945c24b	3446	114
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	106	106
7	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49163:2c4ae7a5 49164:50cdb857 49165:ac40965a	-
8	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	106	106
8	50cdb857-a262-0ae5-bf5b-5c93c8025b69	74	74
8	95839ad0-b588-0b1d-8475-45fba6ae993c	50079836	971
8	ac40965a-bc99-01e4-a2c9-c26b76db013b	74	74
8	b414796d-14fc-080e-9ce6-a7162e3e562b	1782	82
8	f1012467-de9d-09a9-8b49-62a43945c24b	45	3905
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	77	77
8	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49163:2c4ae7a5 49164:50cdb857 49165:ac40965a	-
9	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	244	212
9	50cdb857-a262-0ae5-bf5b-5c93c8025b69	188	252
9	95839ad0-b588-0b1d-8475-45fba6ae993c	217	217
9	ac40965a-bc99-01e4-a2c9-c26b76db013b	220	220
9	b414796d-14fc-080e-9ce6-a7162e3e562b	50085829	155416
9	f1012467-de9d-09a9-8b49-62a43945c24b	21414	35941
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	217	217
9	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49163:2c4ae7a5 49164:50cdb857 49165:ac40965a	-
10	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	143	143
10	50cdb857-a262-0ae5-bf5b-5c93c8025b69	148	175
10	95839ad0-b588-0b1d-8475-45fba6ae993c	50079925	1043
10	ac40965a-bc99-01e4-a2c9-c26b76db013b	74	106
10	b414796d-14fc-080e-9ce6-a7162e3e562b	858	183126
10	f1012467-de9d-09a9-8b49-62a43945c24b	4914	7001
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	69	69
10	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49163:2c4ae7a5 49164:50cdb857 49165:ac40965a	-
